year,sector,source,statistical_regime,total_revenue_m_eur,current_revenue_m_eur,tax_revenue_m_eur,social_contributions_m_eur,sales_other_current_revenue_m_eur,capital_revenue_m_eur,total_expenditure_m_eur,primary_expenditure_m_eur,current_primary_expenditure_m_eur,intermediate_consumption_m_eur,compensation_m_eur,social_transfers_m_eur,subsidies_m_eur,other_current_expenditure_m_eur,capital_expenditure_m_eur,gfcf_m_eur,interest_m_eur,balance_m_eur,primary_balance_m_eur,nominal_gdp_m_eur,account_identity_error_m_eur,total_revenue_pct_gdp,current_revenue_pct_gdp,tax_revenue_pct_gdp,social_contributions_pct_gdp,sales_other_current_revenue_pct_gdp,capital_revenue_pct_gdp,total_expenditure_pct_gdp,primary_expenditure_pct_gdp,current_primary_expenditure_pct_gdp,intermediate_consumption_pct_gdp,compensation_pct_gdp,social_transfers_pct_gdp,subsidies_pct_gdp,other_current_expenditure_pct_gdp,capital_expenditure_pct_gdp,gfcf_pct_gdp,interest_pct_gdp,balance_pct_gdp,primary_balance_pct_gdp,account_identity_error_pct_gdp
2000,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,37650.73102,36215.94502,26194.35,4436.729,5584.866024,1434.786,41454.68255,37681.15055,33259.98755,4275.745,15189.25655,6830.607,1307.476,5656.903,4421.163,3108.227,3773.532,-3803.951523,-30.41952261,128414.445,0,29.31970077,28.20239189,20.3982893,3.455007729,4.349094858,1.117308882,32.28194659,29.34338933,25.90050329,3.329644885,11.82830837,5.319188974,1.018168945,4.405192111,3.44288604,2.420465237,2.938557263,-2.962245815,-0.02368855202,0
2001,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,39179.8633,37285.4343,27215.946,4618.378,5451.110301,1894.429,44940.5604,41006.2004,35376.085,4509.544,16087.985,7391.118,1430.997,5956.441,5630.1154,3499.549,3934.36,-5760.697099,-1826.337099,135775.009,0,28.85646158,27.46119082,20.04488617,3.401493422,4.014811224,1.39527076,33.09928737,30.20158179,26.05493107,3.321335814,11.84900308,5.443651269,1.053947269,4.386993633,4.146650729,2.577461807,2.897705571,-4.24282579,-1.345120219,0
2002,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,41738.49751,40290.47351,29004.673,5221.388,6064.412508,1448.024,46831.309,42803.411,38211.11,4540.174,17240.825,8099.162,1269.524,7061.425,4592.301,3299.391,4027.898,-5092.811492,-1064.913492,142554.263,0,29.27902444,28.26325405,20.34640872,3.662737185,4.254108141,1.015770395,32.85156685,30.0260477,26.80460703,3.18487424,12.09421917,5.681458996,0.890554918,4.953499707,3.221440666,2.314480767,2.82551915,-3.572542402,-0.7470232523,0
2003,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,41821.94515,40076.33161,28197.787,5946.676,5931.868608,1745.613543,49799.483,45921.26,40556.83,4832.803,17760.857,9242.043,1385.684,7335.443,5364.43,3264.09,3878.223,-7977.537848,-4099.314848,146067.858,0,28.63186037,27.4367901,19.30458034,4.07117355,4.061036213,1.195070269,34.09338898,31.43830589,27.7657457,3.308601267,12.15931913,6.327225665,0.9486577122,5.021941925,3.672560188,2.234639465,2.655083092,-5.461528606,-2.806445514,0
2004,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,43953.00512,42849.13059,29721.846,6525.754,6601.530588,1103.87453,53151.77114,49261.18957,42851.167,5209.293,18471.343,9857.166,1126.375,8186.99,6410.022571,3716.768,3890.581572,-9198.766025,-5308.184453,152248.388,0,28.86927454,28.14422612,19.52194463,4.286254906,4.336026591,0.7250484189,34.91122096,32.35580371,28.14556368,3.421575143,12.13237345,6.474397614,0.7398272092,5.377390268,4.210240026,2.441252777,2.555417252,-6.041946418,-3.486529166,0
2005,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,46471.15823,45165.58023,31741.793,7055.607,6368.180232,1305.578,56126.51629,52068.94778,46299.82104,5627.67,19584.44304,10766.175,1115.834,9205.699,5769.12674,3222.936,4057.56851,-9655.358061,-5597.789551,158552.704,0,29.30959678,28.48616207,20.01971092,4.450007362,4.016443789,0.823434711,35.39928041,32.84015124,29.20153354,3.549400204,12.35200823,6.790281546,0.7037622014,5.806081365,3.638617693,2.032722192,2.559129178,-6.08968363,-3.530554453,0
2006,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,49035.01429,48220.9111,34278.839,6839.089,7102.983097,814.1031972,56597.22592,52028.92519,46987.77523,5892.751,19029.0961,10658.888,1074.059,10332.98113,5041.149964,3066.459,4568.300725,-7562.211624,-2993.910899,166260.469,0,29.49288823,29.00323293,20.61755221,4.113478713,4.272202009,0.4896552993,34.04130053,31.2936235,28.26154378,3.544288691,11.44535211,6.410957496,0.6460098462,6.214935633,3.03207972,1.844370474,2.747677035,-4.548412301,-1.800735266,0
2007,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,52121.45184,51262.74246,36609.09,6707.567,7946.085458,858.7093855,58164.19422,53087.04397,48496.98743,6612.156,18985.28989,11263.408,1005.729,10630.40454,4590.056542,2935.455,5077.150247,-6042.742376,-965.592129,175483.401,0,29.70164218,29.2123028,20.86185348,3.82233702,4.528112296,0.4893393795,33.14512591,30.25188916,27.63622494,3.767966635,10.81885226,6.418503366,0.5731191636,6.057783515,2.615664225,1.672782145,2.89323675,-3.443483738,-0.5502469883,0
2008,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,53388.50048,52711.80611,37578.611,6906.509,8226.686115,676.69436,60797.69386,55384.97805,50842.6812,6714.376,19311.467,11827.617,888.903,12100.3182,4542.296853,3518.369,5412.715803,-7409.193381,-1996.477578,179102.781,0,29.8088618,29.43103721,20.9815899,3.85617072,4.593276592,0.3778245967,33.94570063,30.92357234,28.38743258,3.748895446,10.78233788,6.603815381,0.4963088764,6.756074994,2.536139767,1.9644413,3.022128285,-4.136838825,-1.11471054,0
2009,central_government,Portuguese Public Finance Council annual ESA 2010 workbook,esa2010_modern,49921.89232,49284.15732,33330.955,7203.101,8750.10132,637.735,66270.34,61100.448,54987.208,7467.256,20071.503,13174.012,933.383,13341.054,6113.24,4288.345,5169.892,-16348.44768,-11178.55568,175416.437,0,28.45907326,28.09551839,19.00104435,4.106286231,4.988187806,0.3635548703,37.77886561,34.83165491,31.34666793,4.256873602,11.44220196,7.510135438,0.5320955185,7.605361406,3.484986986,2.444665433,2.9472107,-9.319792352,-6.372581653,0
