year,sector,debt_m_eur,nominal_gdp_m_eur,stock_flow_adjustment_m_eur,debt_change_m_eur,source,balance_m_eur,debt_reconciliation_error_m_eur
2000,central_government,68782.76262,128414.445,-3282.562936,521.3885868,Portuguese Public Finance Council annual ESA 2010 workbook,-3803.951523,0
2001,central_government,76163.55974,135775.009,1620.100019,7380.797118,Portuguese Public Finance Council annual ESA 2010 workbook,-5760.697099,0
2002,central_government,83321.22148,142554.263,2064.85025,7157.661741,Portuguese Public Finance Council annual ESA 2010 workbook,-5092.811492,0
2003,central_government,90702.66647,146067.858,-596.0928533,7381.444995,Portuguese Public Finance Council annual ESA 2010 workbook,-7977.537848,0
2004,central_government,99138.27724,152248.388,-763.1552571,8435.610768,Portuguese Public Finance Council annual ESA 2010 workbook,-9198.766025,0
2005,central_government,110459.7746,158552.704,1666.139294,11321.49735,Portuguese Public Finance Council annual ESA 2010 workbook,-9655.358061,0
2006,central_government,118204.5662,166260.469,182.579991,7744.791615,Portuguese Public Finance Council annual ESA 2010 workbook,-7562.211624,0
2007,central_government,123173.2965,175483.401,-1074.01207,4968.730306,Portuguese Public Finance Council annual ESA 2010 workbook,-6042.742376,0
2008,central_government,131008.4821,179102.781,425.9922002,7835.185581,Portuguese Public Finance Council annual ESA 2010 workbook,-7409.193381,0
2009,central_government,148604.6182,175416.437,1247.688462,17596.13614,Portuguese Public Finance Council annual ESA 2010 workbook,-16348.44768,0
2010,central_government,174400.5453,179860.351,5996.97453,25795.92707,Portuguese Public Finance Council annual ESA 2010 workbook,-19798.95254,0
2011,central_government,196552.815,176318.001,8290.423483,22152.26966,Portuguese Public Finance Council annual ESA 2010 workbook,-13861.84618,0
2012,central_government,214957.433,168538.75,6801.949063,18404.61807,Portuguese Public Finance Council annual ESA 2010 workbook,-11602.66901,0
2013,central_government,222406.0992,170675.649,-2106.542889,7448.666111,Portuguese Public Finance Council annual ESA 2010 workbook,-9555.209,0
2014,central_government,230377.8329,173186.662,-6242.195298,7971.733702,Portuguese Public Finance Council annual ESA 2010 workbook,-14213.929,0
2015,central_government,236581.8575,179392.709,-3726.780305,6204.024691,Portuguese Public Finance Council annual ESA 2010 workbook,-9930.804996,0
2016,central_government,247169.5301,186380.749,4532.65089,10587.67255,Portuguese Public Finance Council annual ESA 2010 workbook,-6055.02166,0
2017,central_government,251526.6842,195509.136,-4102.956964,4357.154096,Portuguese Public Finance Council annual ESA 2010 workbook,-8460.11106,0
2018,central_government,254746.3577,204997.646,-187.1845399,3219.67346,Portuguese Public Finance Council annual ESA 2010 workbook,-3406.858,0
2019,central_government,255256.2472,214489.895,-2821.02745,509.8895505,Portuguese Public Finance Council annual ESA 2010 workbook,-3330.917,0
2020,central_government,277295.5844,201032.705,8484.721187,22039.33719,Portuguese Public Finance Council annual ESA 2010 workbook,-13554.616,0
2021,central_government,277679.7954,216493.745,-7600.51295,384.2110502,Portuguese Public Finance Council annual ESA 2010 workbook,-7984.724,0
