year,general_government_balance_m_eur,general_government_balance_pct_gdp,nominal_gdp_m_eur,source_secondary
1995,-4610.502,-5.178677669,89028.557,Portuguese Public Finance Council annual ESA 2010 workbook
1996,-4470.056,-4.737658319,94351.591,Portuguese Public Finance Council annual ESA 2010 workbook
1997,-3791.98036,-3.705604208,102330.96,Portuguese Public Finance Council annual ESA 2010 workbook
1998,-4885.675827,-4.387541522,111353.381,Portuguese Public Finance Council annual ESA 2010 workbook
1999,-3625.76954,-3.031496111,119603.305,Portuguese Public Finance Council annual ESA 2010 workbook
2000,-4072.15969,-3.171107183,128414.445,Portuguese Public Finance Council annual ESA 2010 workbook
2001,-6437.796655,-4.741518121,135775.009,Portuguese Public Finance Council annual ESA 2010 workbook
2002,-4686.565605,-3.287566086,142554.263,Portuguese Public Finance Council annual ESA 2010 workbook
2003,-8325.04039,-5.699433472,146067.858,Portuguese Public Finance Council annual ESA 2010 workbook
2004,-9442.835742,-6.202256632,152248.388,Portuguese Public Finance Council annual ESA 2010 workbook
2005,-9719.293373,-6.130007958,158552.704,Portuguese Public Finance Council annual ESA 2010 workbook
2006,-6928.081031,-4.167004383,166260.469,Portuguese Public Finance Council annual ESA 2010 workbook
2007,-5045.227633,-2.875045505,175483.401,Portuguese Public Finance Council annual ESA 2010 workbook
2008,-6825.105171,-3.810719818,179102.781,Portuguese Public Finance Council annual ESA 2010 workbook
2009,-17321.0278,-9.874233051,175416.437,Portuguese Public Finance Council annual ESA 2010 workbook
2010,-20537.13569,-11.41837852,179860.351,Portuguese Public Finance Council annual ESA 2010 workbook
2011,-13624.04418,-7.726972912,176318.001,Portuguese Public Finance Council annual ESA 2010 workbook
2012,-10453.47442,-6.202416014,168538.75,Portuguese Public Finance Council annual ESA 2010 workbook
2013,-8898.289,-5.213566816,170675.649,Portuguese Public Finance Council annual ESA 2010 workbook
2014,-12751.535,-7.36288514,173186.662,Portuguese Public Finance Council annual ESA 2010 workbook
2015,-8025.985998,-4.473975583,179392.709,Portuguese Public Finance Council annual ESA 2010 workbook
2016,-3622.06066,-1.943366297,186380.749,Portuguese Public Finance Council annual ESA 2010 workbook
2017,-5869.55706,-3.00219068,195509.136,Portuguese Public Finance Council annual ESA 2010 workbook
2018,-872.825,-0.4257731818,204997.646,Portuguese Public Finance Council annual ESA 2010 workbook
2019,248.993,0.1160861214,214489.895,Portuguese Public Finance Council annual ESA 2010 workbook
2020,-11563.868,-5.752232205,201032.705,Portuguese Public Finance Council annual ESA 2010 workbook
2021,-6117.049,-2.825508423,216493.745,Portuguese Public Finance Council annual ESA 2010 workbook
2022,-757.272,-0.3104119739,243957.084,Portuguese Public Finance Council annual ESA 2010 workbook
2023,3029.718,1.120654224,270352.615,Portuguese Public Finance Council annual ESA 2010 workbook
2024,1862.517353,0.6427253801,289784.317,Portuguese Public Finance Council annual ESA 2010 workbook
2025,2058.629783,0.6710760771,306765.485,Portuguese Public Finance Council annual ESA 2010 workbook
