year,central_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,central_government_balance_pct_gdp,regional_local_balance_pct_gdp,social_security_balance_pct_gdp,source_secondary
2000,-3803.951523,-483.1421419,157.0259787,-2.962245815,-0.3762366001,0.1222806194,Portuguese Public Finance Council annual ESA 2010 workbook
2001,-5760.697099,-534.5154155,-208.2281407,-4.24282579,-0.3936773191,-0.1533626418,Portuguese Public Finance Council annual ESA 2010 workbook
2002,-5092.811492,-652.5082811,992.0161678,-3.572542402,-0.4577262492,0.695886708,Portuguese Public Finance Council annual ESA 2010 workbook
2003,-7977.537848,-690.4891224,406.3665819,-5.461528606,-0.4727180448,0.2782039714,Portuguese Public Finance Council annual ESA 2010 workbook
2004,-9198.766025,-525.3840396,309.7843197,-6.041946418,-0.3450834827,0.2034729719,Portuguese Public Finance Council annual ESA 2010 workbook
2005,-9655.358061,-577.0363721,512.6120555,-6.08968363,-0.3639397863,0.3233070409,Portuguese Public Finance Council annual ESA 2010 workbook
2006,-7562.211624,-205.6712154,817.3768087,-4.548412301,-0.1237042195,0.491624265,Portuguese Public Finance Council annual ESA 2010 workbook
2007,-6042.742376,-465.0689843,1420.155727,-3.443483738,-0.2650216383,0.8092820852,Portuguese Public Finance Council annual ESA 2010 workbook
2008,-7409.193381,-1096.12161,1680.2099,-4.136838825,-0.6120070296,0.9381260808,Portuguese Public Finance Council annual ESA 2010 workbook
2009,-16348.44768,-1385.03697,412.45685,-9.319792352,-0.7895708029,0.2351301036,Portuguese Public Finance Council annual ESA 2010 workbook
2010,-19798.95254,-1542.95834,804.77519,-11.00795836,-0.857864633,0.4474444676,Portuguese Public Finance Council annual ESA 2010 workbook
2011,-13861.84618,-201.17,438.972,-7.861843997,-0.1140949868,0.2489660713,Portuguese Public Finance Council annual ESA 2010 workbook
2012,-11602.66901,835.30959,313.885,-6.884273801,0.4956187168,0.1862390697,Portuguese Public Finance Council annual ESA 2010 workbook
2013,-9555.209,309.08,347.84,-5.598460622,0.1810920315,0.2038017737,Portuguese Public Finance Council annual ESA 2010 workbook
2014,-14213.929,654.758,807.636,-8.207288504,0.3780649113,0.4663384528,Portuguese Public Finance Council annual ESA 2010 workbook
2015,-9930.804996,776.285,1128.534,-5.535790753,0.4327294037,0.6290857674,Portuguese Public Finance Council annual ESA 2010 workbook
2016,-6055.02166,863.018,1569.943,-3.248737701,0.4630403111,0.8423310929,Portuguese Public Finance Council annual ESA 2010 workbook
2017,-8460.11106,348,2242.554,-4.32722032,0.177996797,1.147032842,Portuguese Public Finance Council annual ESA 2010 workbook
2018,-3406.858,499.241,2034.792,-1.661901035,0.2435349916,0.9925928613,Portuguese Public Finance Council annual ESA 2010 workbook
2019,-3330.917,604.44,2975.47,-1.552948217,0.2818034854,1.387230853,Portuguese Public Finance Council annual ESA 2010 workbook
2020,-13554.616,-207.161,2197.909,-6.742492969,-0.103048407,1.093309171,Portuguese Public Finance Council annual ESA 2010 workbook
2021,-7984.724,-600.642,2468.317,-3.688200784,-0.2774408101,1.140133171,Portuguese Public Finance Council annual ESA 2010 workbook
2022,-4966.135,-90.541,4299.404,-2.035659272,-0.03711349493,1.762360793,Portuguese Public Finance Council annual ESA 2010 workbook
2023,-2447.446,-242.995,5720.159,-0.9052792036,-0.08988076553,2.115814193,Portuguese Public Finance Council annual ESA 2010 workbook
2024,-4423.92745,255.889296,6030.555507,-1.52662763,0.08830336253,2.081049647,Portuguese Public Finance Council annual ESA 2010 workbook
2025,-5635.804633,629.7422505,7064.692165,-1.837170382,0.2052845842,2.302961875,Portuguese Public Finance Council annual ESA 2010 workbook
