country,year,sector,balance_mio_nac,balance_pct_gdp,flag
AT,1995,central_government,-9512.5,-5.4,
AT,1995,general_government,-10856.4,-6.2,
AT,1995,local_government,-1154.2,-0.7,
AT,1995,social_security_funds,-228.7,-0.1,
AT,1995,state_government,38.9,0,
AT,1996,central_government,-8221.5,-4.5,
AT,1996,general_government,-8303.1,-4.6,
AT,1996,local_government,-497.2,-0.3,
AT,1996,social_security_funds,-15.4,0,
AT,1996,state_government,431,0.2,
AT,1997,central_government,-6076.8,-3.2,
AT,1997,general_government,-4924.3,-2.6,
AT,1997,local_government,188.3,0.1,
AT,1997,social_security_funds,293.9,0.2,
AT,1997,state_government,670.2,0.4,
AT,1998,central_government,-5919.9,-3,
AT,1998,general_government,-5377.5,-2.8,
AT,1998,local_government,-1,0,
AT,1998,social_security_funds,218.2,0.1,
AT,1998,state_government,325.2,0.2,
AT,1999,central_government,-5157.8,-2.5,
AT,1999,general_government,-5344.2,-2.6,
AT,1999,local_government,-200.3,-0.1,
AT,1999,social_security_funds,-77.6,0,
AT,1999,state_government,91.5,0,
AT,2000,central_government,-4521,-2.1,
AT,2000,general_government,-5111.4,-2.4,
AT,2000,local_government,-212.5,-0.1,
AT,2000,social_security_funds,-257.6,-0.1,
AT,2000,state_government,-120.2,-0.1,
AT,2001,central_government,-1900.2,-0.9,
AT,2001,general_government,-1563.3,-0.7,
AT,2001,local_government,383.4,0.2,
AT,2001,social_security_funds,-28,0,
AT,2001,state_government,-18.5,0,
AT,2002,central_government,-2937.6,-1.3,
AT,2002,general_government,-3208.1,-1.4,
AT,2002,local_government,96.2,0,
AT,2002,social_security_funds,-101,0,
AT,2002,state_government,-265.6,-0.1,
AT,2003,central_government,-3917.7,-1.7,
AT,2003,general_government,-4239.3,-1.8,
AT,2003,local_government,-82.7,0,
AT,2003,social_security_funds,-128.7,-0.1,
AT,2003,state_government,-110.2,0,
AT,2004,central_government,-11127.1,-4.6,
AT,2004,general_government,-11886,-4.9,
AT,2004,local_government,-216,-0.1,
AT,2004,social_security_funds,-193.8,-0.1,
AT,2004,state_government,-349.1,-0.1,
AT,2005,central_government,-6172.8,-2.4,
AT,2005,general_government,-6532.2,-2.6,
AT,2005,local_government,-19.4,0,
AT,2005,social_security_funds,-51.2,0,
AT,2005,state_government,-288.8,-0.1,
AT,2006,central_government,-5851.4,-2.2,
AT,2006,general_government,-6936.9,-2.6,
AT,2006,local_government,-123.6,0,
AT,2006,social_security_funds,29.7,0,
AT,2006,state_government,-991.5,-0.4,
AT,2007,central_government,-3106.3,-1.1,
AT,2007,general_government,-3865.1,-1.4,
AT,2007,local_government,-108.1,0,
AT,2007,social_security_funds,-273.9,-0.1,
AT,2007,state_government,-376.8,-0.1,
AT,2008,central_government,-3952.6,-1.4,
AT,2008,general_government,-4586.6,-1.6,
AT,2008,local_government,-269.9,-0.1,
AT,2008,social_security_funds,126.5,0,
AT,2008,state_government,-490.6,-0.2,
AT,2009,central_government,-12315.1,-4.3,
AT,2009,general_government,-15404.3,-5.4,
AT,2009,local_government,-1304.9,-0.5,
AT,2009,social_security_funds,223.6,0.1,
AT,2009,state_government,-2007.9,-0.7,
AT,2010,central_government,-9669.7,-3.3,
AT,2010,general_government,-13127.5,-4.5,
AT,2010,local_government,-1372.8,-0.5,
AT,2010,social_security_funds,460.8,0.2,
AT,2010,state_government,-2545.7,-0.9,
AT,2011,central_government,-6847.6,-2.2,
AT,2011,general_government,-7647.6,-2.5,
AT,2011,local_government,-471.3,-0.2,
AT,2011,social_security_funds,697.3,0.2,
AT,2011,state_government,-1026,-0.3,
AT,2012,central_government,-6839.2,-2.2,
AT,2012,general_government,-6891.9,-2.2,
AT,2012,local_government,-263.3,-0.1,
AT,2012,social_security_funds,593.4,0.2,
AT,2012,state_government,-382.8,-0.1,
AT,2013,central_government,-6602.8,-2.1,
AT,2013,general_government,-6399.8,-2,
AT,2013,local_government,-221,-0.1,
AT,2013,social_security_funds,447.8,0.1,
AT,2013,state_government,-23.7,0,
AT,2014,central_government,-6883.7,-2.1,
AT,2014,general_government,-6349.8,-1.9,
AT,2014,local_government,-159.3,0,
AT,2014,social_security_funds,509,0.2,
AT,2014,state_government,184.2,0.1,
AT,2015,central_government,-2274.5,-0.7,
AT,2015,general_government,-1631.5,-0.5,
AT,2015,local_government,-80.5,0,
AT,2015,social_security_funds,274.4,0.1,
AT,2015,state_government,449.1,0.1,
AT,2016,central_government,-4116.1,-1.2,
AT,2016,general_government,-5162.2,-1.5,
AT,2016,local_government,-296.7,-0.1,
AT,2016,social_security_funds,442.2,0.1,
AT,2016,state_government,-1191.7,-0.3,
AT,2017,central_government,-3302.3,-0.9,
