year,sector,source,statistical_regime,current_revenue_m_eur,social_contributions_m_eur,capital_revenue_m_eur,total_revenue_m_eur,current_expenditure_m_eur,compensation_m_eur,interest_m_eur,subsidies_m_eur,capital_expenditure_m_eur,gfcf_m_eur,total_expenditure_m_eur,balance_m_eur,current_transfers_received_m_eur,current_transfers_paid_m_eur,capital_transfers_received_m_eur,capital_transfers_paid_m_eur,primary_balance_m_eur,nominal_gdp_m_eur,current_revenue_pct_gdp,social_contributions_pct_gdp,capital_revenue_pct_gdp,total_revenue_pct_gdp,current_expenditure_pct_gdp,compensation_pct_gdp,interest_pct_gdp,subsidies_pct_gdp,capital_expenditure_pct_gdp,gfcf_pct_gdp,total_expenditure_pct_gdp,balance_pct_gdp,current_transfers_received_pct_gdp,current_transfers_paid_pct_gdp,capital_transfers_received_pct_gdp,capital_transfers_paid_pct_gdp,primary_balance_pct_gdp,account_identity_error_m_eur
1977,central_government,Banco de Portugal / INE long series,historical_long_series,709.7059064,0,4.330762862,714.0366693,729.0589181,310.9275147,51.25931365,118.6317488,140.9710498,64.76560489,870.0299679,-155.9932986,98.35981784,162.3636137,4.330762862,76.20544488,-104.733985,3602.601334,19.69981801,0,0.120212104,19.82003011,20.23701349,8.63063897,1.422841688,3.292946897,3.913034963,1.797745542,24.15004846,-4.330018343,2.730244307,4.506843767,0.120212104,2.11528942,-2.907176655,2.842170943e-14
1978,central_government,Banco de Portugal / INE long series,historical_long_series,817.455155,0,4.501735817,821.9568908,946.5822243,390.4589938,102.5646776,182.7820524,189.5365469,89.38349578,1136.118771,-314.1618804,62.65183408,167.0957542,4.501735817,100.1530511,-211.5972029,4456.083151,18.34470155,0,0.1010245021,18.44572605,21.24247219,8.762381234,2.301677821,4.101854614,4.2534338,2.00587585,25.49590599,-7.05017994,1.405984403,3.749834744,0.1010245021,2.24755795,-4.748502119,1.136868377e-13
1979,central_government,Banco de Portugal / INE long series,historical_long_series,1045.327884,0,3.876058699,1049.203943,1197.300347,480.791293,140.9505114,229.2990507,249.0624994,116.6928552,1446.362846,-397.1589032,54.20441735,209.7610658,3.876058699,132.3696442,-256.2083917,5665.868483,18.44956139,0,0.0684106719,18.51797206,21.13180618,8.485747497,2.487712375,4.047023884,4.395839757,2.059575784,25.52764594,-7.00967388,0.956683296,3.702187342,0.0684106719,2.336263973,-4.521961505,-1.136868377e-13
1980,central_government,Banco de Portugal / INE long series,historical_long_series,1425.794364,0,10.91149829,1436.705863,1721.964787,634.3412376,192.2446096,439.3001306,344.9719127,153.8603017,2066.936699,-630.2308367,72.60463782,271.771386,10.91149829,191.111611,-437.9862271,7363.833272,19.36212176,0,0.1481768786,19.51029864,23.38408167,8.614280283,2.610659455,5.965644717,4.684678481,2.089405015,28.06876015,-8.558461516,0.9859625434,3.690623836,0.1481768786,2.595273466,-5.947802061,-1.136868377e-13
1981,central_government,Banco de Portugal / INE long series,historical_long_series,1823.179,0,8.225177323,1831.404177,2423.855772,774.1060195,401.8760659,676.9804852,423.0823665,245.2321854,2846.938138,-1015.533961,80.48007302,332.0762313,8.225177323,177.8501811,-613.6578952,8847.305645,20.60716644,0,0.09296816062,20.7001346,27.3965416,8.749624468,4.542355402,7.651826583,4.782047591,2.771829021,32.17858919,-11.47845459,0.9096562982,3.753416516,0.09296816062,2.01021857,-6.936099189,1.136868377e-13
1982,central_government,Banco de Portugal / INE long series,historical_long_series,2389.824153,0,9.457208128,2399.281361,2716.02263,937.8949781,531.4621951,550.1257106,511.8132251,215.1781157,3227.835855,-828.5544937,111.0226255,403.2256711,9.457208128,296.6351094,-297.0922986,10698.31816,22.33831634,0,0.08839901738,22.42671536,25.38737949,8.766751598,4.967717235,5.142170035,4.784053134,2.011326571,30.17143262,-7.744717267,1.037757747,3.769056642,0.08839901738,2.772726563,-2.777000031,0
1983,central_government,Banco de Portugal / INE long series,historical_long_series,3302.867683,0,31.12849034,3333.996174,3644.810658,1182.270728,772.0899292,781.66705,578.2835335,264.3658152,4223.094191,-889.0980178,139.4547042,526.7166379,31.12849034,313.9177183,-117.0080886,13668.75365,24.16363459,0,0.2277346651,24.39136925,26.66527434,8.649440602,5.648575936,5.71864173,4.230696877,1.934088668,30.89597121,-6.504601962,1.020244477,3.853435738,0.2277346651,2.296608209,-0.8560260257,0
1984,central_government,Banco de Portugal / INE long series,historical_long_series,3893.835829,0,56.30704502,3950.142874,5173.854685,1447.047615,1077.601327,1422.442076,587.6178211,303.1927855,5761.472506,-1811.329632,169.4997905,775.5769994,56.30704502,284.4250357,-733.7283049,16785.04216,23.19824872,0,0.3354596579,23.53370838,30.82419833,8.621054397,6.420009654,8.474462336,3.500842092,1.80632722,34.32504042,-10.79133204,1.009826421,4.620643737,0.3354596579,1.694514872,-4.371322382,4.547473509e-13
1985,central_government,Banco de Portugal / INE long series,historical_long_series,4800.235208,0,60.35086442,4860.586073,6256.052977,1808.221267,1518.736302,1408.759889,757.6217665,338.8909777,7013.674743,-2153.088671,198.0795233,948.6807294,60.35086442,418.7307888,-634.3523683,20605.41146,23.29599298,0,0.2928884217,23.58888141,30.36121355,8.775467892,7.37057013,6.83684425,3.676809696,1.644669792,34.03802325,-10.44914184,0.9612985585,4.604036814,0.2928884217,2.032139905,-3.078571712,-4.547473509e-13
1986,central_government,Banco de Portugal / INE long series,historical_long_series,5914.89325,0.009975957941,163.900001,6078.793251,6780.112073,2238.964097,1946.772778,760.5969613,1096.397682,435.9144462,7876.509754,-1797.716503,438.9426482,1166.463822,163.900001,660.4832354,149.0562744,25181.81629,23.48874753,3.961572044e-05,0.6508664789,24.13961401,26.92463481,8.891193832,7.730867208,3.020421373,4.353926139,1.731068328,31.27856095,-7.13894694,1.74309368,4.632167151,0.6508664789,2.622857811,0.5919202677,9.094947018e-13
