year,central_government_balance_m_eur,general_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,state_balance_m_eur,local_government_balance_m_eur,regional_government_balance_m_eur,nominal_gdp_m_eur,central_government_balance_pct_gdp,general_government_balance_pct_gdp,regional_local_balance_pct_gdp,social_security_balance_pct_gdp,state_balance_pct_gdp,local_government_balance_pct_gdp,regional_government_balance_pct_gdp,source_primary,statistical_regime,methodology_overlap_year
1977,-155.9932986,-147.8054908,12.0411963,-3.853388511,-204.2792769,12.00669387,0.03450243412,3602.601334,-4.330018343,-4.102743465,0.3342361584,-0.1069612803,-5.670327021,0.3332784495,0.0009577089141,Banco de Portugal / INE long series,historical_long_series,False
1978,-314.1618804,-279.7266063,1.240453622,33.19482048,-337.06457,7.183056334,-5.942602712,4456.083151,-7.05017994,-6.277409932,0.02783730868,0.7449326989,-7.56414453,0.1611966404,-0.1333593317,Banco de Portugal / INE long series,historical_long_series,False
1979,-397.1589032,-328.654052,11.82680028,56.6780509,-455.6547108,18.84014525,-7.013344966,5665.868483,-7.00967388,-5.800594436,0.2087376422,1.000341802,-8.042098261,0.3325199889,-0.1237823466,Banco de Portugal / INE long series,historical_long_series,False
1980,-630.2308367,-624.8773436,-22.40721362,27.7607067,-529.9047376,-4.10573019,-18.30148342,7363.833272,-8.558461516,-8.485761702,-0.3042873567,0.3769871706,-7.19604475,-0.05575533881,-0.2485320179,Banco de Portugal / INE long series,historical_long_series,False
1981,-1015.533961,-1102.679869,-70.3706218,-16.77528656,-756.5882727,-29.76502629,-40.60559551,8847.305645,-11.47845459,-12.463454,-0.795390423,-0.1896089864,-8.551623545,-0.3364304058,-0.4589600172,Banco de Portugal / INE long series,historical_long_series,False
1982,-828.5544937,-914.4823725,-103.7977923,17.86991351,-815.1727911,-46.41934937,-57.37844295,10698.31816,-7.744717267,-8.547907801,-0.9702253268,0.1670347922,-7.619634965,-0.4338938951,-0.5363314317,Banco de Portugal / INE long series,historical_long_series,False
1983,-889.0980178,-917.4949761,-96.05387516,67.65691683,-833.4960031,-33.02741393,-63.02646123,13668.75365,-6.504601962,-6.712352859,-0.7027259226,0.4949750254,-6.09782007,-0.2416271065,-0.4610988161,Banco de Portugal / INE long series,historical_long_series,False
1984,-1811.329632,-1707.653536,-96.66619447,200.3422901,-1232.434057,-16.87826339,-79.78793109,16785.04216,-10.79133204,-10.17366248,-0.5759067719,1.193576329,-7.342454341,-0.1005553827,-0.4753513892,Banco de Portugal / INE long series,historical_long_series,False
1985,-2153.088671,-2119.106493,-127.7159795,161.6981574,-1928.557798,-34.92186331,-92.79411618,20605.41146,-10.44914184,-10.28422314,-0.6198176616,0.7847363677,-9.359472395,-0.1694790874,-0.4503385742,Banco de Portugal / INE long series,historical_long_series,False
1986,-1797.716503,-1485.619158,-31.0002893,343.0976347,-2255.488273,10.39993615,-41.40022546,25181.81629,-7.13894694,-5.899571107,-0.1231058513,1.362481684,-8.956813312,0.04129938856,-0.1644052398,Banco de Portugal / INE long series,historical_long_series,False
1987,-1815.658264,-1639.7926,12.73929829,163.1263655,-3066.768089,96.61715266,-83.87785437,29670.65301,-6.119374127,-5.526648164,0.0429356856,0.5497902773,-10.33603166,0.32563204,-0.2826963544,Banco de Portugal / INE long series,historical_long_series,False
1988,-1430.603745,-1123.735627,75.29853054,231.5695873,-2411.454894,87.75351403,-12.45498349,35416.43021,-4.03937872,-3.172921778,0.2126090351,0.653847906,-6.808859277,0.2477762821,-0.035167247,Banco de Portugal / INE long series,historical_long_series,False
1989,-1112.714857,-890.9146258,-64.61926757,286.419499,-1480.308955,-52.85262517,-11.76664239,41841.30823,-2.659369184,-2.129270483,-0.1544389272,0.6845376283,-3.537912695,-0.1263168563,-0.02812207096,Banco de Portugal / INE long series,historical_long_series,False
1990,-2418.192656,-2526.252896,-336.109975,228.0497351,-2456.814577,-86.84071388,-249.2692611,50239.23883,-4.813354486,-5.028445801,-0.6690188442,0.4539275285,-4.890230493,-0.1728543583,-0.496164486,Banco de Portugal / INE long series,historical_long_series,False
1991,-3255.183508,-3455.08098,-130.0016959,-69.89577618,-3132.449297,-115.4617372,-14.5399587,57608.07092,-5.650568498,-5.997564099,-0.2256657684,-0.1213298329,-5.437518124,-0.2004263211,-0.0252394473,Banco de Portugal / INE long series,historical_long_series,False
1992,-2029.304875,-1908.269047,-59.72107222,180.7569009,-2048.274159,-108.2640836,48.54301134,64765.86489,-3.133293871,-2.94641174,-0.09221072291,0.2790928542,-3.162582886,-0.1671622602,0.07495153724,Banco de Portugal / INE long series,historical_long_series,False
1993,-4086.624734,-4129.806417,-269.6651071,226.4834249,-4141.392743,-231.7714309,-37.89367624,67733.29321,-6.033406233,-6.097158754,-0.3981278546,0.3343753333,-6.114264562,-0.3421824333,-0.05594542129,Banco de Portugal / INE long series,historical_long_series,False
1994,-4071.769574,-4456.856276,-106.7005919,-278.3861104,-4279.501071,-104.535775,-2.164816939,73437.83279,-5.544512166,-6.068883172,-0.1452937646,-0.379077241,-5.827379306,-0.1423459421,-0.002947822473,Banco de Portugal / INE long series,historical_long_series,False
1995,-4220.739214,-4557.695302,32.57930034,-369.5353881,-4077.905979,42.63534561,-10.05604527,79373.07522,-5.317595673,-5.742117574,0.04104578315,-0.465567684,-5.137643927,0.05371512379,-0.01266934064,Banco de Portugal / INE long series,historical_long_series,True
