year,population_k,labour_force_k,employment_k,employees_k,unemployment_k,unemployment_rate,source,nominal_gdp_m_eur
1977,9735.9,3934.930752,3671.929119,2762.092666,264.6452752,0.06725538309,Banco de Portugal / INE long series,3602.601334
1978,9801.4,4064.346222,3769.976314,2867.409522,295.007977,0.07258436189,Banco de Portugal / INE long series,4456.083151
1979,9856.5,4166.204811,3862.390881,2936.616081,305.3317305,0.07328773892,Banco de Portugal / INE long series,5665.868483
1980,9909.3,4236.052169,3943.683841,3030.647698,293.4670176,0.06927842386,Banco de Portugal / INE long series,7363.833272
1981,9956.9,4250.960816,3939.463498,3037.620206,311.4973182,0.0732769206,Banco de Portugal / INE long series,8847.305645
1982,10059.06408,4268.626367,3965.266615,3035.091054,303.3597521,0.07106730035,Banco de Portugal / INE long series,10698.31816
1983,10122.61625,4230.712984,3878.768737,2979.870845,351.9442477,0.08318792814,Banco de Portugal / INE long series,13668.75365
1984,10196.7107,4329.804714,3937.320015,3017.773245,392.4846993,0.09064720587,Banco de Portugal / INE long series,16785.04216
1985,10173.354,4347.901755,3932.204431,3005.644608,415.6973244,0.09560872067,Banco de Portugal / INE long series,20605.41146
1986,10199.174,4326.578517,3899.977282,2992.788405,426.6012346,0.09860013702,Banco de Portugal / INE long series,25181.81629
1987,10227.969,4388.943994,4006.931916,3055.208135,382.0120785,0.08703963391,Banco de Portugal / INE long series,29670.65301
1988,10254.254,4435.625442,4096.153958,3144.660765,339.4714841,0.07653294638,Banco de Portugal / INE long series,35416.43021
1989,10281.394,4556.916319,4236.143668,3265.204099,320.7726507,0.07039248217,Banco de Portugal / INE long series,41841.30823
1990,10301.662,4593.174236,4279.233638,3301.658687,313.9405972,0.06834937695,Banco de Portugal / INE long series,50239.23883
1991,10303.572,4628.944873,4335.178265,3314.886472,293.7666075,0.06346297386,Banco de Portugal / INE long series,57608.07092
1992,10280.242,4600.617894,4359.598121,3327.618424,241.0197733,0.0523885658,Banco de Portugal / INE long series,64765.86489
1993,10313.242,4599.746571,4295.159481,3243.876495,304.5870906,0.06621823309,Banco de Portugal / INE long series,67733.29321
1994,10332.908,4664.897867,4293.052141,3175.445299,371.8457256,0.07971143984,Banco de Portugal / INE long series,73437.83279
1995,10341.153,4708.370147,4315.418499,3164.018628,392.9516479,0.08345810454,Banco de Portugal / INE long series,79373.07522
