year,wages_and_salaries_m_eur,compensation_of_employees_m_eur,employees_k,employment_k
1995,34189.2,42592,3592.31,4528.98
1996,36921.7,45839.5,3636.76,4604.87
1997,39374.2,49059.8,3735.36,4725.55
1998,42026,52787.6,3856.25,4858.13
1999,45964.1,57079.5,3941.86,4933.24
2000,49476.1,61820.4,4028.61,5041.86
2001,52505.1,65394.8,4090.76,5130.09
2002,54817.5,68422.3,4132.89,5149.93
2003,55994.8,69832.1,4088.21,5100.19
2004,57600.9,72361.7,4102.18,5064.18
2005,59506.1,75781.5,4103.31,5040.96
2006,60978.6,77895.4,4141.61,5060.86
2007,63581.7,81065.2,4166.57,5061.58
2008,65454.1,83676.9,4190.81,5080.13
2009,65573.2,83655.1,4091.67,4941.69
2010,66246.3,85209.1,4066.19,4871.33
2011,63629.2,82025.1,3984.19,4779.12
2012,58774.5,75744.1,3793.45,4585.32
2013,59017.1,76603.3,3706.18,4452.55
2014,59459.2,76707.2,3782.21,4521.48
2015,61197.2,78646.2,3869.45,4590.79
2016,63425.6,81294.1,3955.55,4671.44
2017,67049.1,85900.3,4093.35,4826.19
2018,71046.9,91521.8,4180.24,4942.32
2019,75272,96957.5,4208.36,4983.27
2020,75387.7,96895,4130.11,4884.37
2021,80458.9,103756.2,4176.8,4952.93
2022,88831.1,113604.2,4331.78,5137.9
2023,99403.2,127048.6,4429.32,5238.18
2024,107461,137966.9,4473.54,5275.31
2025,114657.5,147623.6,4567.32,5396.96
