year,general_government_balance_m_eur,central_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,status,cfp_general_government_balance_m_eur,cfp_central_government_balance_m_eur,cfp_regional_local_balance_m_eur,cfp_social_security_balance_m_eur,general_government_source_difference_m_eur,central_government_source_difference_m_eur,regional_local_source_difference_m_eur,social_security_source_difference_m_eur
1995,-4611,-4235,66,-442,final,-4610.502,,,,-0.498,,,
1996,-4470,-5091,-261,882,final,-4470.056,,,,0.05599999999,,,
1997,-3792,-4003,-413,624,final,-3791.98036,,,,-0.01964,,,
1998,-4886,-5382,412,84,final,-4885.675827,,,,-0.324173,,,
1999,-3626,-4079,279,174,final,-3625.76954,,,,-0.23046,,,
2000,-4072,-3746,-483,157,final,-4072.15969,-3803.951523,-483.1421419,157.0259787,0.15969,57.95152261,0.1421418693,-0.02597874797
2001,-6438,-5695,-535,-208,final,-6437.796655,-5760.697099,-534.5154155,-208.2281407,-0.203345,65.69709882,-0.4845844934,0.2281406742
2002,-4687,-5026,-653,992,final,-4686.565605,-5092.811492,-652.5082811,992.0161678,-0.434395,66.81149176,-0.491718925,-0.0161678333
2003,-8325,-8041,-690,406,final,-8325.04039,-7977.537848,-690.4891224,406.3665819,0.04039000002,-63.46215159,0.4891223526,-0.3665819451
2004,-9443,-9227,-525,310,final,-9442.835742,-9198.766025,-525.3840396,309.7843197,-0.164258,-28.23397477,0.3840396215,0.2156802979
2005,-9719,-9655,-577,513,final,-9719.293373,-9655.358061,-577.0363721,512.6120555,0.293373,0.3580606109,0.03637212818,0.387944466
2006,-6928,-7540,-206,817,final,-6928.081031,-7562.211624,-205.6712154,817.3768087,0.08103099999,22.21162424,-0.3287845683,-0.3768087037
2007,-5045,-6000,-465,1420,final,-5045.227633,-6042.742376,-465.0689843,1420.155727,0.227633,42.74237628,0.06898434508,-0.1557267712
2008,-6825,-7409,-1096,1680,final,-6825.105171,-7409.193381,-1096.12161,1680.2099,0.105171,0.193381,0.12161,-0.2099
2009,-17321,-16348,-1385,412,final,-17321.0278,-16348.44768,-1385.03697,412.45685,0.02780000001,0.44768,0.03697,-0.45685
2010,-20537,-19799,-1543,805,final,-20537.13569,-19798.95254,-1542.95834,804.77519,0.13569,-0.04745999999,-0.04166,0.22481
2011,-13624,-13862,-201,439,final,-13624.04418,-13861.84618,-201.17,438.972,0.044177,-0.153823,0.17,0.028
2012,-10453,-11603,835,314,final,-10453.47442,-11602.66901,835.30959,313.885,0.47442,-0.33099,-0.30959,0.115
2013,-8898,-9555,309,348,final,-8898.289,-9555.209,309.08,347.84,0.289,0.209,-0.08,0.16
2014,-12752,-14214,655,808,final,-12751.535,-14213.929,654.758,807.636,-0.465,-0.07099999998,0.242,0.364
2015,-8026,-9931,776,1129,final,-8025.985998,-9930.804996,776.285,1128.534,-0.01400200001,-0.195004,-0.285,0.466
2016,-3622,-6055,863,1570,final,-3622.06066,-6055.02166,863.018,1569.943,0.06065999997,0.02166000001,-0.018,0.057
2017,-5870,-8460,348,2243,final,-5869.55706,-8460.11106,348,2242.554,-0.44294,0.11106,-3.637978807e-12,0.446
2018,-873,-3407,499,2035,final,-872.825,-3406.858,499.241,2034.792,-0.175,-0.142,-0.241,0.208
2019,249,-3331,604,2975,final,248.993,-3330.917,604.44,2975.47,0.007000000012,-0.083,-0.44,-0.47
2020,-11564,-13555,-207,2198,final,-11563.868,-13554.616,-207.161,2197.909,-0.132,-0.384,0.161,0.091
2021,-6117,-7985,-601,2468,final,-6117.049,-7984.724,-600.642,2468.317,0.04900000001,-0.276,-0.358,-0.317
2022,-757,-4966,-91,4299,final,-757.272,-4966.135,-90.541,4299.404,0.272,0.135,-0.459,-0.404
2023,3030,-2447,-243,5720,final,3029.718,-2447.446,-242.995,5720.159,0.282,0.446,-0.005000000001,-0.159
2024,1863,-4424,256,6031,provisional,1862.517353,-4423.92745,255.889296,6030.555507,0.482647,-0.07255000001,0.110704,0.444493
2025,2059,-5636,630,7065,provisional,2058.629783,-5635.804633,629.7422505,7064.692165,0.3702173,-0.1953672,0.2577495,0.307835
