year,general_government_balance_m_eur,central_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,nominal_gdp_m_eur,source_primary,statistical_regime,general_government_balance_pct_gdp,central_government_balance_pct_gdp,regional_local_balance_pct_gdp,social_security_balance_pct_gdp,closure_error_m_eur,closure_within_tolerance,known_methodology_break,non_ssf_balance_m_eur,non_ssf_balance_pct_gdp,aggregate_balance_positive,ssf_balance_positive,non_ssf_balance_negative,positive_aggregate_with_negative_non_ssf_balance,ssf_exceeds_aggregate_balance,ssf_share_of_positive_aggregate_balance,ssf_required_to_offset_non_ssf_m_eur,ssf_offset_ratio,ssf_balance_after_offset_m_eur,general_government_balance_5y_mean_pct_gdp,central_government_balance_5y_mean_pct_gdp,regional_local_balance_5y_mean_pct_gdp,social_security_balance_5y_mean_pct_gdp,non_ssf_balance_5y_mean_pct_gdp
1977,-147.8054908,-155.9932986,12.0411963,-3.853388511,3602.601334,Banco de Portugal / INE long series,historical_long_series,-4.102743465,-4.330018343,0.3342361584,-0.1069612803,-1.705302566e-13,True,False,-143.9521023,-3.995782185,False,False,True,False,False,,143.9521023,,-147.8054908,,,,,
1978,-279.7266063,-314.1618804,1.240453622,33.19482048,4456.083151,Banco de Portugal / INE long series,historical_long_series,-6.277409932,-7.05017994,0.02783730868,0.7449326989,1.705302566e-13,True,False,-312.9214268,-7.022342631,False,True,True,False,False,,312.9214268,0.1060803692,-279.7266063,,,,,
1979,-328.654052,-397.1589032,11.82680028,56.6780509,5665.868483,Banco de Portugal / INE long series,historical_long_series,-5.800594436,-7.00967388,0.2087376422,1.000341802,1.705302566e-13,True,False,-385.3321029,-6.800936238,False,True,True,False,False,,385.3321029,0.1470888371,-328.654052,-5.393582611,-6.129957388,0.1902703698,0.5461044069,-5.939687018
1980,-624.8773436,-630.2308367,-22.40721362,27.7607067,7363.833272,Banco de Portugal / INE long series,historical_long_series,-8.485761702,-8.558461516,-0.3042873567,0.3769871706,-2.273736754e-13,True,False,-652.6380503,-8.862748873,False,True,True,False,False,,652.6380503,0.04253614493,-624.8773436,-6.166627384,-6.73708342,0.06663093815,0.5038250978,-6.670452482
1981,-1102.679869,-1015.533961,-70.3706218,-16.77528656,8847.305645,Banco de Portugal / INE long series,historical_long_series,-12.463454,-11.47845459,-0.795390423,-0.1896089864,-1.136868377e-12,True,False,-1085.904583,-12.27384501,False,False,True,False,False,,1085.904583,,-1102.679869,-7.425992707,-7.685357654,-0.1057733341,0.365138281,-7.791130988
1982,-914.4823725,-828.5544937,-103.7977923,17.86991351,10698.31816,Banco de Portugal / INE long series,historical_long_series,-8.547907801,-7.744717267,-0.9702253268,0.1670347922,-6.821210263e-13,True,False,-932.352286,-8.714942593,False,True,True,False,False,,932.352286,0.01916648222,-914.4823725,-8.315025574,-8.368297439,-0.3666656311,0.4199374955,-8.73496307
1983,-917.4949761,-889.0980178,-96.05387516,67.65691683,13668.75365,Banco de Portugal / INE long series,historical_long_series,-6.712352859,-6.504601962,-0.7027259226,0.4949750254,-4.547473509e-13,True,False,-985.151893,-7.207327885,False,True,True,False,False,,985.151893,0.06867663486,-917.4949761,-8.40201416,-8.259181843,-0.5127782774,0.3699459608,-8.771960121
1984,-1707.653536,-1811.329632,-96.66619447,200.3422901,16785.04216,Banco de Portugal / INE long series,historical_long_series,-10.17366248,-10.79133204,-0.5759067719,1.193576329,1.818989404e-12,True,False,-1907.995826,-11.36723881,False,True,True,False,False,,1907.995826,0.1050014299,-1707.653536,-9.276627768,-9.015513474,-0.6697071602,0.4085928662,-9.685220634
1985,-2119.106493,-2153.088671,-127.7159795,161.6981574,20605.41146,Banco de Portugal / INE long series,historical_long_series,-10.28422314,-10.44914184,-0.6198176616,0.7847363677,-1.364242053e-12,True,False,-2280.80465,-11.0689595,False,True,True,False,False,,2280.80465,0.07089522438,-2119.106493,-9.636320055,-9.393649539,-0.7328132212,0.4901427056,-10.12646276
1986,-1485.619158,-1797.716503,-31.0002893,343.0976347,25181.81629,Banco de Portugal / INE long series,historical_long_series,-5.899571107,-7.13894694,-0.1231058513,1.362481684,0,True,False,-1828.716793,-7.262052791,False,True,True,False,False,,1828.716793,0.1876166042,-1485.619158,-8.323543476,-8.525748009,-0.5983563068,0.8005608398,-9.124104316
1987,-1639.7926,-1815.658264,12.73929829,163.1263655,29670.65301,Banco de Portugal / INE long series,historical_long_series,-5.526648164,-6.119374127,0.0429356856,0.5497902773,2.273736754e-13,True,False,-1802.918965,-6.076438442,False,True,True,False,False,,1802.918965,0.0904790335,-1639.7926,-7.719291549,-8.200679381,-0.3957241044,0.8771119368,-8.596403486
1988,-1123.735627,-1430.603745,75.29853054,231.5695873,35416.43021,Banco de Portugal / INE long series,historical_long_series,-3.172921778,-4.03937872,0.2126090351,0.653847906,-1.364242053e-12,True,False,-1355.305214,-3.826769685,False,True,True,False,False,,1355.305214,0.1708615778,-1123.735627,-7.011405333,-7.707634733,-0.2126571128,0.9088865129,-7.920291846
1989,-890.9146258,-1112.714857,-64.61926757,286.419499,41841.30823,Banco de Portugal / INE long series,historical_long_series,-2.129270483,-2.659369184,-0.1544389272,0.6845376283,-1.932676241e-12,True,False,-1177.334125,-2.813808111,False,True,True,False,False,,1177.334125,0.2432780066,-890.9146258,-5.402526934,-6.081242163,-0.1283635439,0.8070787727,-6.209605706
1990,-2526.252896,-2418.192656,-336.109975,228.0497351,50239.23883,Banco de Portugal / INE long series,historical_long_series,-5.028445801,-4.813354486,-0.6690188442,0.4539275285,-4.547473509e-13,True,False,-2754.302631,-5.48237333,False,True,True,False,False,,2754.302631,0.08279763182,-2526.252896,-4.351371467,-4.954084691,-0.1382037804,0.7409170049,-5.092288472
1991,-3455.08098,-3255.183508,-130.0016959,-69.89577618,57608.07092,Banco de Portugal / INE long series,historical_long_series,-5.997564099,-5.650568498,-0.2256657684,-0.1213298329,4.547473509e-13,True,False,-3385.185204,-5.876234266,False,False,True,False,False,,3385.185204,,-3455.08098,-4.370970065,-4.656409003,-0.1587157638,0.4441547015,-4.815124767
1992,-1908.269047,-2029.304875,-59.72107222,180.7569009,64765.86489,Banco de Portugal / INE long series,historical_long_series,-2.94641174,-3.133293871,-0.09221072291,0.2790928542,1.818989404e-12,True,False,-2089.025947,-3.225504594,False,True,True,False,False,,2089.025947,0.08652688163,-1908.269047,-3.85492278,-4.059192952,-0.1857450455,0.3900152168,-4.244937997
1993,-4129.806417,-4086.624734,-269.6651071,226.4834249,67733.29321,Banco de Portugal / INE long series,historical_long_series,-6.097158754,-6.033406233,-0.3981278546,0.3343753333,0,True,False,-4356.289841,-6.431534087,False,True,True,False,False,,4356.289841,0.05198998074,-4129.806417,-4.439770176,-4.457998454,-0.3078924235,0.3261207023,-4.765890878
1994,-4456.856276,-4071.769574,-106.7005919,-278.3861104,73437.83279,Banco de Portugal / INE long series,historical_long_series,-6.068883172,-5.544512166,-0.1452937646,-0.379077241,-3.637978807e-12,True,False,-4178.470166,-5.689805931,False,False,True,False,False,,4178.470166,,-4456.856276,-5.227692713,-5.035027051,-0.3060633909,0.1133977284,-5.341090442
1995,-4611,-4235,66,-442,89028.557,INE via PORDATA balance snapshot,modern_national_accounts,-5.17923704,-4.756900643,0.07413351651,-0.4964699136,0,True,True,-4169,-4.682767126,False,False,True,False,False,,4169,,-4611,-5.257850961,-5.023736282,-0.1574329188,-0.07668175999,-5.181169201
1996,-4470,-5091,-261,882,94351.591,INE via PORDATA balance snapshot,modern_national_accounts,-4.737598966,-5.395775467,-0.2766249061,0.9348014068,0,True,False,-5352,-5.672400373,False,True,True,False,False,,5352,0.1647982063,-4470,-5.005857934,-4.972777676,-0.1676247463,0.134544488,-5.140402422
1997,-3792,-4003,-413,624,102330.96,INE via PORDATA balance snapshot,modern_national_accounts,-3.705623401,-3.911817108,-0.4035924221,0.6097861292,0,True,False,-4416,-4.31540953,False,True,True,False,False,,4416,0.1413043478,-3792,-5.157700267,-5.128482323,-0.2299010862,0.200683143,-5.35838341
1998,-4886,-5382,412,84,111353.381,INE via PORDATA balance snapshot,modern_national_accounts,-4.387832642,-4.833261417,0.369993256,0.07543551821,0,True,False,-4970,-4.463268161,False,True,True,False,False,,4970,0.01690140845,-4886,-4.815835044,-4.88845336,-0.07627686405,0.1488951799,-4.964730224
1999,-3626,-4079,279,174,119603.305,INE via PORDATA balance snapshot,modern_national_accounts,-3.031688798,-3.410440874,0.2332711458,0.1454809296,0,True,False,-3800,-3.177169728,False,True,True,False,False,,3800,0.04578947368,-3626,-4.20839617,-4.461639102,-0.0005638819756,0.2538068141,-4.462202984
2000,-4072,-3746,-483,157,128414.445,INE via PORDATA balance snapshot,modern_national_accounts,-3.170982828,-2.917117307,-0.3761259101,0.122260389,0,True,False,-4229,-3.293243217,False,True,True,False,False,,4229,0.03712461575,-4072,-3.806745327,-4.093682435,-0.0906157673,0.3775528746,-4.184298202
2001,-6438,-5695,-535,-208,135775.009,INE via PORDATA balance snapshot,modern_national_accounts,-4.741667887,-4.194439052,-0.3940342217,-0.1531946133,0,True,False,-6230,-4.588473273,False,False,True,False,False,,6230,,-6438,-3.807559111,-3.853415151,-0.1140976304,0.1599536706,-3.967512782
2002,-4687,-5026,-653,992,142554.263,INE via PORDATA balance snapshot,modern_national_accounts,-3.287870809,-3.525674992,-0.4580711837,0.6958753664,0,True,False,-5679,-3.983746175,False,True,True,False,False,,5679,0.1746786406,-4687,-3.724008593,-3.776186728,-0.1249933828,0.177171518,-3.901180111
2003,-8325,-8041,-690,406,146067.858,INE via PORDATA balance snapshot,modern_national_accounts,-5.69940582,-5.504975639,-0.4723831851,0.2779530046,0,True,False,-8731,-5.977358825,False,True,True,False,False,,8731,0.04650097354,-8325,-3.986323228,-3.910529573,-0.293468671,0.2176750153,-4.203998244
2004,-9443,-9227,-525,310,152248.388,INE via PORDATA balance snapshot,modern_national_accounts,-6.20236452,-6.060491097,-0.3448312372,0.2036146353,-1,True,False,-9752,-6.405322334,False,True,True,False,False,,9752,0.03178835111,-9442,-4.620458373,-4.440539617,-0.4090891476,0.2293017564,-4.849628765
2005,-9719,-9655,-577,513,158552.704,INE via PORDATA balance snapshot,modern_national_accounts,-6.129822926,-6.089457799,-0.3639168462,0.3235517194,0,True,False,-10232,-6.453374646,False,True,True,False,False,,10232,0.05013682565,-9719,-5.212226392,-5.075007716,-0.4066473348,0.2695600225,-5.481655051
2006,-6928,-7540,-206,817,166260.469,INE via PORDATA balance snapshot,modern_national_accounts,-4.166955646,-4.535052767,-0.1239019722,0.4913976274,1,True,False,-7746,-4.658954739,False,True,True,False,False,,7746,0.1054737929,-6929,-5.097283944,-5.143130459,-0.3526208849,0.3984784706,-5.495751344
2007,-5045,-6000,-465,1420,175483.401,INE via PORDATA balance snapshot,modern_national_accounts,-2.874915788,-3.419126804,-0.2649823273,0.8091933436,0,True,False,-6465,-3.684109131,False,True,True,False,False,,6465,0.2196442382,-5045,-5.01469294,-5.121820821,-0.3140031136,0.4211420661,-5.435823935
2008,-6825,-7409,-1096,1680,179102.781,INE via PORDATA balance snapshot,modern_national_accounts,-3.810661097,-4.136730853,-0.6119391301,0.9380088855,0,True,False,-8505,-4.748669983,False,True,True,False,False,,8505,0.1975308642,-6825,-4.636943996,-4.848171864,-0.3419143026,0.5531532423,-5.190086167
2009,-17321,-16348,-1385,412,175416.437,INE via PORDATA balance snapshot,modern_national_accounts,-9.874217203,-9.319537142,-0.7895497273,0.2348696662,0,True,False,-17733,-10.10908687,False,True,True,False,False,,17733,0.02323351943,-17321,-5.371314532,-5.499981073,-0.4308580006,0.5594042484,-5.930839074
2010,-20537,-19799,-1543,805,179860.351,INE via PORDATA balance snapshot,modern_national_accounts,-11.41830308,-11.00798474,-0.8578877954,0.447569459,0,True,False,-21342,-11.86587254,False,True,True,False,False,,21342,0.03771905164,-20537,-6.429010563,-6.483686462,-0.5296521905,0.5842077964,-7.013338653
2011,-13624,-13862,-201,439,176318.001,INE via PORDATA balance snapshot,modern_national_accounts,-7.726947857,-7.861931239,-0.1139985701,0.2489819516,0,True,False,-14063,-7.975929809,False,True,True,False,False,,14063,0.03121666785,-13624,-7.141009005,-7.149062157,-0.52767151,0.5357246612,-7.676733667
2012,-10453,-11603,835,314,168538.75,INE via PORDATA balance snapshot,modern_national_accounts,-6.202134524,-6.884470189,0.4954350261,0.1863073032,1,True,False,-10768,-6.389035163,False,True,True,False,False,,10768,0.02916047548,-10454,-7.806452753,-7.842130833,-0.3755880394,0.4111474531,-8.217718873
2013,-8898,-9555,309,348,170675.649,INE via PORDATA balance snapshot,modern_national_accounts,-5.213397489,-5.598338167,0.1810451589,0.2038955188,0,True,False,-9246,-5.417293008,False,True,True,False,False,,9246,0.03763789747,-8898,-8.087000031,-8.134452296,-0.2169911816,0.2643247798,-8.351443478
2014,-12752,-14214,655,808,173186.662,INE via PORDATA balance snapshot,modern_national_accounts,-7.363153636,-8.2073295,0.3782046449,0.4665486306,-1,True,False,-13559,-7.829124855,False,True,True,False,False,,13559,0.0595914153,-12751,-7.584787318,-7.912010768,0.01655969287,0.3106605727,-7.895451075
2015,-8026,-9931,776,1129,179392.709,INE via PORDATA balance snapshot,modern_national_accounts,-4.473983388,-5.535899455,0.4325705344,0.6293455327,0,True,False,-9155,-5.103328921,False,True,True,False,False,,9155,0.1233205898,-8026,-6.195923379,-6.81759371,0.2746513588,0.3470157874,-6.542942351
2016,-3622,-6055,863,1570,186380.749,INE via PORDATA balance snapshot,modern_national_accounts,-1.943333751,-3.24872608,0.4630306535,0.8423616755,0,True,False,-5192,-2.785695426,False,True,True,False,False,,5192,0.3023882897,-3622,-5.039200558,-5.894952678,0.3900572035,0.4656917322,-5.504895474
2017,-5870,-8460,348,2243,195509.136,INE via PORDATA balance snapshot,modern_national_accounts,-3.002417237,-4.327163514,0.177996797,1.147260965,-1,True,False,-8112,-4.149166717,False,True,True,False,False,,8112,0.2765039448,-5869,-4.3992571,-5.383491343,0.3265695577,0.6578824645,-5.056921785
2018,-873,-3407,499,2035,204997.646,INE via PORDATA balance snapshot,modern_national_accounts,-0.4258585486,-1.661970304,0.2434174293,0.9926943259,0,True,False,-2908,-1.418552875,False,True,True,False,False,,2908,0.6997936726,-873,-3.441749312,-4.59621777,0.3390440118,0.8156422259,-4.257173759
2019,249,-3331,604,2975,214489.895,INE via PORDATA balance snapshot,modern_national_accounts,0.116089385,-1.552986913,0.2815983476,1.387011728,1,True,False,-2727,-1.271388566,True,True,True,True,True,11.94779116,2727,1.090942428,248,-1.945900708,-3.265349253,0.3197227523,0.9997348455,-2.945626501
2020,-11564,-13555,-207,2198,201032.705,INE via PORDATA balance snapshot,modern_national_accounts,-5.752297866,-6.742683983,-0.1029683205,1.093354437,0,True,False,-13762,-6.845652303,False,True,True,False,False,,13762,0.1597151577,-11564,-2.201563604,-3.506706159,0.2126149814,1.092536626,-3.294091177
2021,-6117,-7985,-601,2468,216493.745,INE via PORDATA balance snapshot,modern_national_accounts,-2.825485789,-3.68832827,-0.2776061729,1.139986746,1,True,False,-8586,-3.965934443,False,True,True,False,False,,8586,0.2874446774,-6118,-2.377994011,-3.594626597,0.0644876161,1.152061641,-3.530138981
2022,-757,-4966,-91,4299,243957.084,INE via PORDATA balance snapshot,modern_national_accounts,-0.3103004789,-2.035603934,-0.03730164278,1.76219519,1,True,False,-5057,-2.072905577,False,True,True,False,False,,5057,0.8501087601,-758,-1.83957066,-3.136314681,0.02142792814,1.275048486,-3.114886753
2023,3030,-2447,-243,5720,270352.615,INE via PORDATA balance snapshot,modern_national_accounts,1.120758532,-0.9051142339,-0.08988261497,2.115755381,0,True,False,-2690,-0.9949968488,True,True,True,True,True,1.887788779,2690,2.126394052,3030,-1.530247243,-2.984943467,-0.04523208071,1.499660697,-3.030175548
2024,1863,-4424,256,6031,289784.317,INE via PORDATA balance snapshot,modern_national_accounts,0.642891934,-1.526652666,0.08834156474,2.081203035,0,True,False,-4168,-1.438311101,True,True,True,True,True,3.237251744,4168,1.446976967,1863,-1.424886734,-2.979676617,-0.08388343728,1.638498958,-3.063560055
2025,2059,-5636,630,7065,306765.485,INE via PORDATA balance snapshot,modern_national_accounts,0.6711967613,-1.837234068,0.2053686059,2.303062224,0,True,False,-5006,-1.631865462,True,True,True,True,True,3.431277319,5006,1.411306432,2059,-0.1401878082,-1.998586634,-0.02221605199,1.880440515,-2.020802686
