year,wage_bill_m_eur,compensation_of_employees_m_eur,employees_k,employment_k,contributions_m_eur,nominal_gdp_m_eur,average_wage_eur,contributions_to_wage_bill_ratio,wage_bill_pct_gdp,contributions_pct_gdp
1995,34189.2,42592,3592.31,4528.98,8904.270708,79373.07522,9517.330075,0.2604410372,43.07405238,11.21825088
2000,49476.1,61820.4,4028.61,5041.86,8844.914,128414.445,12281.18383,0.1787714472,38.52845371,6.887787429
2001,52505.1,65394.8,4090.76,5130.09,9641.545,135775.009,12835.04777,0.1836306378,38.67066582,7.101119028
2002,54817.5,68422.3,4132.89,5149.93,10149.938,142554.263,13263.72103,0.1851587176,38.45377812,7.120052243
2003,55994.8,69832.1,4088.21,5100.19,10245.023,146067.858,13696.65453,0.1829638288,38.33478547,7.013879125
2004,57600.9,72361.7,4102.18,5064.18,10508.783,152248.388,14041.53401,0.1824412987,37.83350402,6.902393607
2005,59506.1,75781.5,4103.31,5040.96,11136.151,158552.704,14501.97523,0.1871430156,37.53080111,7.023627298
2006,60978.6,77895.4,4141.61,5060.86,11701.755,166260.469,14723.40467,0.1918993713,36.67654757,7.038206418
2007,63581.7,81065.2,4166.57,5061.58,12468.547,175483.401,15259.96203,0.1961027623,36.23231578,7.105257209
2008,65454.1,83676.9,4190.81,5080.13,13100.636,179102.781,15618.48425,0.2001499677,36.54555202,7.314591056
2009,65573.2,83655.1,4091.67,4941.69,13212.044,175416.437,16026.0236,0.2014854239,37.38144562,7.531816417
2010,66246.3,85209.1,4066.19,4871.33,13570.75219,179860.351,16291.9834,0.2048529833,36.83207535,7.545160517
2011,63629.2,82025.1,3984.19,4779.12,13782.69,176318.001,15970.4231,0.2166095126,36.08775034,7.816950012
2012,58774.5,75744.1,3793.45,4585.32,13081.318,168538.75,15493.6799,0.2225679164,34.87298915,7.761608532
2013,59017.1,76603.3,3706.18,4452.55,13287.416,170675.649,15923.97023,0.2251451867,34.57851213,7.785185571
2014,59459.2,76707.2,3782.21,4521.48,13546.404,173186.662,15720.75585,0.2278268796,34.33243606,7.821851777
2015,61197.2,78646.2,3869.45,4590.79,14131.051,179392.709,15815.47765,0.2309100907,34.11353803,7.877160158
2016,63425.6,81294.1,3955.55,4671.44,14841.064,186380.749,16034.58432,0.2339917005,34.030124,7.962766584
2017,67049.1,85900.3,4093.35,4826.19,15883.272,195509.136,16380.0066,0.2368901596,34.2946122,8.124056157
2018,71046.9,91521.8,4180.24,4942.32,17049.069,204997.646,16995.89019,0.2399692175,34.65742236,8.316714525
2019,75272,96957.5,4208.36,4983.27,18532.578,214489.895,17886.3025,0.2462081252,35.09349473,8.640303544
2020,75387.7,96895,4130.11,4884.37,18844.001,201032.705,18253.19422,0.2499612138,37.50021669,9.373599684
2021,80458.9,103756.2,4176.8,4952.93,20273.61,216493.745,19263.28768,0.2519747349,37.16453794,9.364524596
2022,88831.1,113604.2,4331.78,5137.9,22563.085,243957.084,20506.83553,0.2539998379,36.41259296,9.24879271
2023,99403.2,127048.6,4429.32,5238.18,25368.629,270352.615,22442.09043,0.2552093796,36.7679817,9.383533797
2024,107461,137966.9,4473.54,5275.31,27925.918,289784.317,24021.46846,0.2598702599,37.08309722,9.636794113
2025,114657.5,147623.6,4567.32,5396.96,30393.564,306765.485,25103.89025,0.2650813423,37.37627132,9.907752171
