year,nominal_gdp_m_eur,general_government_balance_pct_gdp,central_government_balance_pct_gdp,regional_local_balance_pct_gdp,social_security_balance_pct_gdp,nominal_gdp_growth,modern_regime,population_k,labour_force_k,employment_k,employees_k,unemployment_k,unemployment_rate,employment_growth
1977,3602.601334,-4.102743465,-4.330018343,0.3342361584,-0.1069612803,,0,9735.9,3934.930752,3671.929119,2762.092666,264.6452752,0.06725538309,
1978,4456.083151,-6.277409932,-7.05017994,0.02783730868,0.7449326989,0.2369070952,0,9801.4,4064.346222,3769.976314,2867.409522,295.007977,0.07258436189,0.02670182117
1979,5665.868483,-5.800594436,-7.00967388,0.2087376422,1.000341802,0.2714907444,0,9856.5,4166.204811,3862.390881,2936.616081,305.3317305,0.07328773892,0.02451330176
1980,7363.833272,-8.485761702,-8.558461516,-0.3042873567,0.3769871706,0.2996830572,0,9909.3,4236.052169,3943.683841,3030.647698,293.4670176,0.06927842386,0.02104731563
1981,8847.305645,-12.463454,-11.47845459,-0.795390423,-0.1896089864,0.2014538242,0,9956.9,4250.960816,3939.463498,3037.620206,311.4973182,0.0732769206,-0.0010701523
1982,10698.31816,-8.547907801,-7.744717267,-0.9702253268,0.1670347922,0.2092176519,0,10059.06408,4268.626367,3965.266615,3035.091054,303.3597521,0.07106730035,0.006549906315
1983,13668.75365,-6.712352859,-6.504601962,-0.7027259226,0.4949750254,0.2776544353,0,10122.61625,4230.712984,3878.768737,2979.870845,351.9442477,0.08318792814,-0.02181388713
1984,16785.04216,-10.17366248,-10.79133204,-0.5759067719,1.193576329,0.2279862961,0,10196.7107,4329.804714,3937.320015,3017.773245,392.4846993,0.09064720587,0.01509532593
1985,20605.41146,-10.28422314,-10.44914184,-0.6198176616,0.7847363677,0.2276055826,0,10173.354,4347.901755,3932.204431,3005.644608,415.6973244,0.09560872067,-0.001299255342
1986,25181.81629,-5.899571107,-7.13894694,-0.1231058513,1.362481684,0.2220972308,0,10199.174,4326.578517,3899.977282,2992.788405,426.6012346,0.09860013702,-0.008195695143
1987,29670.65301,-5.526648164,-6.119374127,0.0429356856,0.5497902773,0.1782570673,0,10227.969,4388.943994,4006.931916,3055.208135,382.0120785,0.08703963391,0.02742442479
1988,35416.43021,-3.172921778,-4.03937872,0.2126090351,0.653847906,0.1936518618,0,10254.254,4435.625442,4096.153958,3144.660765,339.4714841,0.07653294638,0.02226692244
1989,41841.30823,-2.129270483,-2.659369184,-0.1544389272,0.6845376283,0.1814095318,0,10281.394,4556.916319,4236.143668,3265.204099,320.7726507,0.07039248217,0.03417589073
1990,50239.23883,-5.028445801,-4.813354486,-0.6690188442,0.4539275285,0.2007090828,0,10301.662,4593.174236,4279.233638,3301.658687,313.9405972,0.06834937695,0.01017198037
1991,57608.07092,-5.997564099,-5.650568498,-0.2256657684,-0.1213298329,0.1466748355,0,10303.572,4628.944873,4335.178265,3314.886472,293.7666075,0.06346297386,0.01307351542
1992,64765.86489,-2.94641174,-3.133293871,-0.09221072291,0.2790928542,0.1242498465,0,10280.242,4600.617894,4359.598121,3327.618424,241.0197733,0.0523885658,0.005632953029
1993,67733.29321,-6.097158754,-6.033406233,-0.3981278546,0.3343753333,0.04581778265,0,10313.242,4599.746571,4295.159481,3243.876495,304.5870906,0.06621823309,-0.01478086699
1994,73437.83279,-6.068883172,-5.544512166,-0.1452937646,-0.379077241,0.08422061459,0,10332.908,4664.897867,4293.052141,3175.445299,371.8457256,0.07971143984,-0.0004906313566
1995,89028.557,-5.17923704,-4.756900643,0.07413351651,-0.4964699136,0.2122982612,1,10341.153,4708.370147,4315.418499,3164.018628,392.9516479,0.08345810454,0.00520989665
1996,94351.591,-4.737598966,-5.395775467,-0.2766249061,0.9348014068,0.0597901862,1,,,,,,,
1997,102330.96,-3.705623401,-3.911817108,-0.4035924221,0.6097861292,0.08457058239,1,,,,,,,
1998,111353.381,-4.387832642,-4.833261417,0.369993256,0.07543551821,0.08816902529,1,,,,,,,
1999,119603.305,-3.031688798,-3.410440874,0.2332711458,0.1454809296,0.07408777287,1,,,,,,,
2000,128414.445,-3.170982828,-2.917117307,-0.3761259101,0.122260389,0.07366970336,1,,,,,,,
2001,135775.009,-4.741667887,-4.194439052,-0.3940342217,-0.1531946133,0.05731881643,1,,,,,,,
2002,142554.263,-3.287870809,-3.525674992,-0.4580711837,0.6958753664,0.04993005745,1,,,,,,,
2003,146067.858,-5.69940582,-5.504975639,-0.4723831851,0.2779530046,0.02464742145,1,,,,,,,
2004,152248.388,-6.20236452,-6.060491097,-0.3448312372,0.2036146353,0.04231273111,1,,,,,,,
2005,158552.704,-6.129822926,-6.089457799,-0.3639168462,0.3235517194,0.04140809688,1,,,,,,,
2006,166260.469,-4.166955646,-4.535052767,-0.1239019722,0.4913976274,0.04861326742,1,,,,,,,
2007,175483.401,-2.874915788,-3.419126804,-0.2649823273,0.8091933436,0.05547278951,1,,,,,,,
2008,179102.781,-3.810661097,-4.136730853,-0.6119391301,0.9380088855,0.02062519862,1,,,,,,,
2009,175416.437,-9.874217203,-9.319537142,-0.7895497273,0.2348696662,-0.0205822823,1,,,,,,,
2010,179860.351,-11.41830308,-11.00798474,-0.8578877954,0.447569459,0.02533350965,1,,,,,,,
2011,176318.001,-7.726947857,-7.861931239,-0.1139985701,0.2489819516,-0.01969500215,1,,,,,,,
2012,168538.75,-6.202134524,-6.884470189,0.4954350261,0.1863073032,-0.04412057167,1,,,,,,,
2013,170675.649,-5.213397489,-5.598338167,0.1810451589,0.2038955188,0.01267897739,1,,,,,,,
2014,173186.662,-7.363153636,-8.2073295,0.3782046449,0.4665486306,0.01471219248,1,,,,,,,
2015,179392.709,-4.473983388,-5.535899455,0.4325705344,0.6293455327,0.03583443972,1,,,,,,,
2016,186380.749,-1.943333751,-3.24872608,0.4630306535,0.8423616755,0.03895386852,1,,,,,,,
2017,195509.136,-3.002417237,-4.327163514,0.177996797,1.147260965,0.04897709151,1,,,,,,,
2018,204997.646,-0.4258585486,-1.661970304,0.2434174293,0.9926943259,0.04853231002,1,,,,,,,
2019,214489.895,0.116089385,-1.552986913,0.2815983476,1.387011728,0.04630418537,1,,,,,,,
2020,201032.705,-5.752297866,-6.742683983,-0.1029683205,1.093354437,-0.06274043819,1,,,,,,,
2021,216493.745,-2.825485789,-3.68832827,-0.2776061729,1.139986746,0.07690808319,1,,,,,,,
2022,243957.084,-0.3103004789,-2.035603934,-0.03730164278,1.76219519,0.1268551154,1,,,,,,,
2023,270352.615,1.120758532,-0.9051142339,-0.08988261497,2.115755381,0.1081974361,1,,,,,,,
2024,289784.317,0.642891934,-1.526652666,0.08834156474,2.081203035,0.07187539873,1,,,,,,,
2025,306765.485,0.6711967613,-1.837234068,0.2053686059,2.303062224,0.05859933407,1,,,,,,,
