DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,1995,-10856.4,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,1996,-8303.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,1997,-4924.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,1998,-5377.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,1999,-5344.2,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2000,-5111.4,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2001,-1563.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2002,-3208.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2003,-4239.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2004,-11886.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2005,-6532.2,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2006,-6936.9,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2007,-3865.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2008,-4586.6,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2009,-15404.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2010,-13127.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2011,-7647.6,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2012,-6891.9,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2013,-6399.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2014,-6349.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2015,-1631.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2016,-5162.2,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2017,-2849.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2018,748.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2019,2122.6,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2020,-31202.7,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2021,-23128.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2022,-15325.4,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2023,-12249.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2024,-22952.6,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,AT,2025,-21463.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,1995,-9489.6,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,1996,-8576.9,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,1997,-4821.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,1998,-2384.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,1999,-1571.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2000,-203.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2001,615.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2002,-119.4,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2003,-5242.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2004,-708.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2005,-8417.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2006,779.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2007,228.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2008,-3852.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2009,-18943.5,b,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2010,-15013.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2011,-16822.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2012,-16869.4,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2013,-12483.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2014,-12858.1,,
