DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,1995,4528.98,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,1996,4604.87,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,1997,4725.55,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,1998,4858.13,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,1999,4933.24,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2000,5041.86,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2001,5130.09,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2002,5149.93,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2003,5100.19,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2004,5064.18,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2005,5040.96,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2006,5060.86,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2007,5061.58,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2008,5080.13,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2009,4941.69,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2010,4871.33,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2011,4779.12,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,EMP_DC,PT,2012,4585.32,,
