DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,1995,42592.0,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,1996,45839.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,1997,49059.8,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,1998,52787.6,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,1999,57079.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2000,61820.4,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2001,65394.8,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2002,68422.3,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2003,69832.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2004,72361.7,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2005,75781.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2006,77895.4,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2007,81065.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2008,83676.9,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2009,83655.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2010,85209.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2011,82025.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2012,75744.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2013,76603.3,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2014,76707.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2015,78646.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2016,81294.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2017,85900.3,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2018,91521.8,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2019,96957.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2020,96895.0,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2021,103756.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2022,113604.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2023,127048.6,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2024,137966.9,p,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D1,PT,2025,147623.6,p,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,1995,34189.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,1996,36921.7,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,1997,39374.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,1998,42026.0,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,1999,45964.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2000,49476.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2001,52505.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2002,54817.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2003,55994.8,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2004,57600.9,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2005,59506.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2006,60978.6,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2007,63581.7,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2008,65454.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2009,65573.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2010,66246.3,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2011,63629.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2012,58774.5,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2013,59017.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2014,59459.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2015,61197.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2016,63425.6,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2017,67049.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2018,71046.9,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2019,75272.0,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2020,75387.7,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2021,80458.9,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2022,88831.1,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2023,99403.2,,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2024,107461.0,p,
ESTAT:NAMA_10_A10(1.0),17/08/26 11:00:00,A,CP_MEUR,TOTAL,D11,PT,2025,114657.5,p,
