year,general_government_balance_pct_gdp,status
1977,-2.8,final
1978,-4.9,final
1979,-4.6,final
1980,-7.1,final
1981,-10.9,final
1982,-7.1,final
1983,-5.3,final
1984,-8.6,final
1985,-8.4,final
1986,-4.5,final
1987,-4.7,final
1988,-2.6,final
1989,-1.8,final
1990,-4.2,final
1991,-4.4,final
1992,-2.7,final
1993,-5.8,final
1994,-5.4,final
1995,-5.2,final
1996,-4.7,final
1997,-3.7,final
1998,-4.4,final
1999,-3.0,final
2000,-3.2,final
2001,-4.7,final
2002,-3.3,final
2003,-5.7,final
2004,-6.2,final
2005,-6.1,final
2006,-4.2,final
2007,-2.9,final
2008,-3.8,final
2009,-9.9,final
2010,-11.4,final
2011,-7.7,final
2012,-6.2,final
2013,-5.2,final
2014,-7.4,final
2015,-4.5,final
2016,-1.9,final
2017,-3.0,final
2018,-0.4,final
2019,0.1,final
2020,-5.8,final
2021,-2.8,final
2022,-0.3,final
2023,1.1,final
2024,0.6,provisional
2025,0.7,preliminary
