year,sector,total_revenue_m_eur,total_expenditure_m_eur,balance_m_eur,identity_error_m_eur,within_tolerance
1977,central_government,714.0366693,870.0299679,-155.9932986,2.842170943e-14,True
1978,central_government,821.9568908,1136.118771,-314.1618804,1.136868377e-13,True
1979,central_government,1049.203943,1446.362846,-397.1589032,-1.136868377e-13,True
1980,central_government,1436.705863,2066.936699,-630.2308367,-1.136868377e-13,True
1981,central_government,1831.404177,2846.938138,-1015.533961,1.136868377e-13,True
1982,central_government,2399.281361,3227.835855,-828.5544937,0,True
1983,central_government,3333.996174,4223.094191,-889.0980178,0,True
1984,central_government,3950.142874,5761.472506,-1811.329632,4.547473509e-13,True
1985,central_government,4860.586073,7013.674743,-2153.088671,-4.547473509e-13,True
1986,central_government,6078.793251,7876.509754,-1797.716503,9.094947018e-13,True
1987,central_government,6728.951443,8544.609707,-1815.658264,6.821210263e-13,True
1988,central_government,8283.222942,9713.826687,-1430.603745,2.273736754e-13,True
1989,central_government,10195.57301,11308.28787,-1112.714857,4.547473509e-13,True
1990,central_government,12061.86432,14480.05698,-2418.192656,-9.094947018e-13,True
1991,central_government,14527.76056,17782.94407,-3255.183508,0,True
1992,central_government,18066.82413,20096.129,-2029.304875,-1.591615728e-12,True
1993,central_government,17570.7775,21657.40224,-4086.624734,0,True
1994,central_government,18654.55986,22726.32943,-4071.769574,5.456968211e-12,True
1995,central_government,20382.65757,24603.39678,-4220.739214,4.547473509e-12,True
2000,central_government,37650.73102,41454.68255,-3803.951523,0,True
2001,central_government,39179.8633,44940.5604,-5760.697099,0,True
2002,central_government,41738.49751,46831.309,-5092.811492,0,True
2003,central_government,41821.94515,49799.483,-7977.537848,0,True
2004,central_government,43953.00512,53151.77114,-9198.766025,0,True
2005,central_government,46471.15823,56126.51629,-9655.358061,0,True
2006,central_government,49035.01429,56597.22592,-7562.211624,0,True
2007,central_government,52121.45184,58164.19422,-6042.742376,0,True
2008,central_government,53388.50048,60797.69386,-7409.193381,0,True
2009,central_government,49921.89232,66270.34,-16348.44768,0,True
2010,central_government,51710.93746,71509.89,-19798.95254,0,True
2011,central_government,52920.05635,66781.90253,-13861.84618,0,True
2012,central_government,51152.57797,62755.24698,-11602.66901,0,True
2013,central_government,55395.977,64951.186,-9555.209,0,True
2014,central_government,55565.797,69779.726,-14213.929,0,True
2015,central_government,57146.272,67077.077,-9930.804996,0,True
2016,central_government,57827.675,63882.69666,-6055.02166,0,True
2017,central_government,59609.958,68070.06906,-8460.11106,0,True
2018,central_government,62729.968,66136.826,-3406.858,0,True
2019,central_government,64478.957,67809.874,-3330.917,0,True
2020,central_government,60730.664,74285.28,-13554.616,0,True
2021,central_government,67585.587,75570.311,-7984.724,0,True
2022,central_government,74210.969,79177.104,-4966.135,0,True
2023,central_government,80759.467,83206.913,-2447.446,0,True
2024,central_government,85645.29655,90069.224,-4423.92745,0,True
2025,central_government,89872.92837,95508.733,-5635.804633,0,True
1977,general_government,1000.246235,1148.051726,-147.8054908,1.136868377e-13,True
1978,general_government,1225.365671,1505.092277,-279.7266063,-5.684341886e-14,True
1979,general_government,1564.458551,1893.112603,-328.654052,0,True
1980,general_government,2087.470766,2712.34811,-624.8773436,2.273736754e-13,True
1981,general_government,2660.933449,3763.613319,-1102.679869,-2.273736754e-13,True
