year,general_government_balance_m_eur,central_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,aggregate_change_m_eur,central_change_m_eur,regional_local_change_m_eur,ssf_change_m_eur,change_closure_error_m_eur,central_change_share_abs_aggregate_change,regional_local_change_share_abs_aggregate_change,ssf_change_share_abs_aggregate_change
1978,-279.7266063,-314.1618804,1.240453622,33.19482048,-131.9211155,-158.1685818,-10.80074268,37.04820899,3.694822226e-13,-1.198963344,-0.08187273613,0.2808360803
1979,-328.654052,-397.1589032,11.82680028,56.6780509,-48.92744566,-82.99702274,10.58634666,23.48323041,-4.263256415e-14,-1.696328546,0.2163682677,0.4799602779
1980,-624.8773436,-630.2308367,-22.40721362,27.7607067,-296.2232916,-233.0719335,-34.2340139,-28.9173442,-3.410605132e-13,-0.7868116388,-0.1155682719,-0.09762008937
1981,-1102.679869,-1015.533961,-70.3706218,-16.77528656,-477.8025258,-385.3031244,-47.96340819,-44.53599326,-7.958078641e-13,-0.8064066294,-0.1003833291,-0.09321004149
1982,-914.4823725,-828.5544937,-103.7977923,17.86991351,188.1974969,186.9794674,-33.42717052,34.64520007,2.842170943e-13,0.9935279184,-0.1776175085,0.1840895901
1983,-917.4949761,-889.0980178,-96.05387516,67.65691683,-3.012603648,-60.54352413,7.74391716,49.78700332,2.415845302e-13,-20.09674395,2.570506467,16.52623748
1984,-1707.653536,-1811.329632,-96.66619447,200.3422901,-790.1585603,-922.2316142,-0.6123193105,132.6853733,2.273736754e-12,-1.167147533,-0.0007749321987,0.1679224651
1985,-2119.106493,-2153.088671,-127.7159795,161.6981574,-411.4529563,-341.7590387,-31.04978502,-38.64413264,-3.296918294e-12,-0.8306151005,-0.07546375482,-0.09392114468
1986,-1485.619158,-1797.716503,-31.0002893,343.0976347,633.4873349,355.3721675,96.71569019,181.3994773,1.250555215e-12,0.5609775411,0.1526718608,0.2863505981
1987,-1639.7926,-1815.658264,12.73929829,163.1263655,-154.173442,-17.94176036,43.73958759,-179.9712692,3.126388037e-13,-0.1163738717,0.2837037756,-1.167329904
1988,-1123.735627,-1430.603745,75.29853054,231.5695873,516.0569727,385.0545186,62.55923225,68.44322184,-1.705302566e-12,0.7461473035,0.1212254374,0.1326272591
1989,-890.9146258,-1112.714857,-64.61926757,286.419499,232.8210014,317.8888878,-139.9177981,54.84991171,-5.400124792e-13,1.365378922,-0.600967255,0.2355883335
1990,-2526.252896,-2418.192656,-336.109975,228.0497351,-1635.33827,-1305.477799,-271.4907074,-58.36976387,1.591615728e-12,-0.7982922082,-0.166015015,-0.03569277681
1991,-3455.08098,-3255.183508,-130.0016959,-69.89577618,-928.8280843,-836.990852,206.108279,-297.9455113,4.547473509e-13,-0.901125694,0.2219014288,-0.3207757349
1992,-1908.269047,-2029.304875,-59.72107222,180.7569009,1546.811933,1225.878632,70.2806237,250.652677,1.818989404e-12,0.7925195081,0.04543579099,0.1620447009
1993,-4129.806417,-4086.624734,-269.6651071,226.4834249,-2221.53737,-2057.319859,-209.9440349,45.72652408,-1.818989404e-12,-0.926079339,-0.09450394025,0.02058327926
1994,-4456.856276,-4071.769574,-106.7005919,-278.3861104,-327.0498596,14.85516051,162.9645152,-504.8695353,-2.728484105e-12,0.04542169971,0.4982864551,-1.543708155
1995,-4611,-4235,66,-442,-154.1437238,-163.2304261,172.7005919,-163.6138896,3.041122909e-12,-1.058949544,1.12038679,-1.061437245
