year,contributions_change_m_eur,from_ratio_m_eur,from_wage_bill_m_eur,wage_bill_ratio_interaction_m_eur,contributions_closure_error_m_eur,wage_bill_change_m_eur,from_employment_m_eur,from_average_wage_m_eur,employment_wage_interaction_m_eur,wage_bill_closure_error_m_eur,contributions_m_eur,wage_bill_m_eur,contributions_to_wage_bill_ratio,year_gap
2001,796.631,240.4137981,541.4987136,14.71848821,-6.821210263e-13,3029,763.2755752,2231.301781,34.42264347,-1.364242053e-12,9641.545,52505.1,0.1836306378,1
2002,508.393,80.23198151,424.6274868,3.533531677,4.547473509e-13,2312.4,540.7405624,1753.599433,18.06000453,-2.728484105e-12,10149.938,54817.5,0.1851587176,1
2003,95.085,-120.3183156,217.9873582,-2.584042559,-1.705302566e-13,1177.3,-592.6230555,1789.266524,-19.34346869,0,10245.023,55994.8,0.1829638288,1
2004,263.76,-29.25896978,293.8582054,-0.8392356319,-2.842170943e-13,1606.1,191.3422637,1409.93977,4.817966441,1.364242053e-12,10508.783,57600.9,0.1824412987,1
2005,627.368,270.8231267,347.5871622,8.957711095,-2.273736754e-13,1905.2,15.86693344,1888.812768,0.5202985797,1.364242053e-12,11136.151,59506.1,0.1871430156,1
2006,565.604,283.0321758,275.5680905,7.003733716,0,1472.5,555.4256515,908.5936013,8.480747233,-2.728484105e-12,11701.755,60978.6,0.1918993713,1
2007,766.792,256.3168995,499.5332533,10.94184716,0,2603.1,367.4961805,2222.211348,13.39247183,-1.364242053e-12,12468.547,63581.7,0.1961027623,1
2008,632.089,257.3282005,367.1828121,7.577987418,6.821210263e-13,1872.4,369.9014796,1493.807942,8.690578703,-4.547473509e-13,13100.636,65454.1,0.2001499677,1
2009,111.408,87.41108601,23.83786115,0.1590528377,3.836930773e-13,119.1,-1548.416529,1707.91998,-40.40345108,5.513811629e-12,13212.044,65573.2,0.2014854239,1
2010,358.70819,220.8216469,135.6198388,2.266704241,1.705302566e-13,673.1,-408.3430814,1088.219737,-6.776655718,-8.867573342e-12,13570.75219,66246.3,0.2048529833,1
2011,211.93781,778.8265655,-536.1207427,-30.76801277,-3.97903932e-13,-2617.1,-1335.942639,-1307.525306,26.3679452,3.637978807e-12,13782.69,63629.2,0.2166095126,1
2012,-701.372,379.1284635,-1051.574201,-28.92626266,-5.684341886e-13,-4854.7,-3046.198502,-1899.435497,90.93399829,1.818989404e-12,13081.318,58774.5,0.2225679164,1
2013,206.098,151.4777777,53.99497651,0.6252457932,6.536993169e-13,242.6,-1352.133444,1632.284882,-37.55143779,-3.410605132e-13,13287.416,59017.1,0.2251451867,1
2014,258.988,158.2657365,99.53668706,1.18557642,-5.684341886e-14,442.1,1210.699457,-753.1490676,-15.45038924,3.296918294e-12,13546.404,59459.2,0.2278268796,1
2015,584.647,183.3252624,395.9631168,5.358620804,2.273736754e-13,1738,1371.478741,358.2577297,8.263529612,-3.183231456e-12,14131.051,61197.2,0.2309100907,1
2016,710.013,188.5858946,514.560046,6.867059399,-1.023181539e-12,2228.4,1361.712626,847.8222902,18.86508397,0,14841.064,63425.6,0.2339917005,1
2017,1042.208,183.8365067,847.8689268,10.5025665,1.364242053e-12,3623.5,2209.565719,1366.335091,47.59918988,-4.092726158e-12,15883.272,67049.1,0.2368901596,1
2018,1165.797,206.4480622,947.03948,12.30945774,-1.364242053e-12,3997.8,1423.258773,2521.027102,53.51412531,4.547473509e-12,17049.069,71046.9,0.2399692175,1
2019,1483.509,443.2550502,1013.893941,26.36000885,-2.273736754e-13,4225.1,477.9244321,3722.137174,25.03839428,9.094947018e-13,18532.578,75272,0.2462081252,1
2020,311.423,282.5024876,28.48628009,0.4342323548,2.273736754e-13,115.7,-1399.603171,1544.012448,-28.70927726,6.50857146e-12,18844.001,75387.7,0.2499612138,1
2021,1429.609,151.7947242,1267.603308,10.21096818,9.094947018e-13,5071.2,852.2416384,4171.797098,47.16126362,1.818989404e-12,20273.61,80458.9,0.2519747349,1
2022,2289.475,162.9375572,2109.582876,16.95456707,-1.364242053e-12,8372.2,2985.424325,5194.05063,192.7250447,-5.456968211e-12,22563.085,88831.1,0.2539998379,1
2023,2805.544,107.4449182,2685.311686,12.78739562,3.183231456e-12,10572.1,2000.236737,8383.098499,188.7647636,0,25368.629,99403.2,0.2552093796,1
2024,2557.289,463.3064197,2056.426139,37.55644153,-4.547473509e-13,8057.8,992.389239,6995.570665,69.84009618,-2.728484105e-12,27925.918,107461,0.2598702599,1
2025,2467.646,559.9881204,1870.156325,37.50155413,-9.094947018e-13,7196.5,2252.733312,4842.257173,101.5095154,5.456968211e-12,30393.564,114657.5,0.2650813423,1
