year,sector,balance_m_eur,stock_flow_adjustment_m_eur,debt_change_m_eur,debt_m_eur,nominal_gdp_m_eur,reconciliation_error_m_eur,debt_pct_gdp,stock_flow_adjustment_pct_gdp
2000,central_government,-3803.951523,-3282.562936,521.3885868,68782.76262,128414.445,0,53.56310392,-2.556225615
2001,central_government,-5760.697099,1620.100019,7380.797118,76163.55974,135775.009,0,56.09541866,1.193224019
2002,central_government,-5092.811492,2064.85025,7157.661741,83321.22148,142554.263,0,58.44877573,1.448466153
2003,central_government,-7977.537848,-596.0928533,7381.444995,90702.66647,146067.858,0,62.09625288,-0.4080931024
2004,central_government,-9198.766025,-763.1552571,8435.610768,99138.27724,152248.388,0,65.11614247,-0.5012567076
2005,central_government,-9655.358061,1666.139294,11321.49735,110459.7746,158552.704,0,69.66754386,1.05084256
2006,central_government,-7562.211624,182.579991,7744.791615,118204.5662,166260.469,0,71.09601394,0.1098156357
2007,central_government,-6042.742376,-1074.01207,4968.730306,123173.2965,175483.401,0,70.19085328,-0.6120305759
2008,central_government,-7409.193381,425.9922002,7835.185581,131008.4821,179102.781,0,73.14709541,0.2378478982
2009,central_government,-16348.44768,1247.688462,17596.13614,148604.6182,175416.437,0,84.71533271,0.7112722634
2010,central_government,-19798.95254,5996.97453,25795.92707,174400.5453,179860.351,0,96.96441953,3.334239312
2011,central_government,-13861.84618,8290.423483,22152.26966,196552.815,176318.001,0,111.4763177,4.701972253
2012,central_government,-11602.66901,6801.949063,18404.61807,214957.433,168538.75,0,127.541846,4.0358369
2013,central_government,-9555.209,-2106.542889,7448.666111,222406.0992,170675.649,0,130.3092154,-1.234237515
2014,central_government,-14213.929,-6242.195298,7971.733702,230377.8329,173186.662,0,133.0228496,-3.604316422
2015,central_government,-9930.804996,-3726.780305,6204.024691,236581.8575,179392.709,0,131.8793048,-2.077442459
2016,central_government,-6055.02166,4532.65089,10587.67255,247169.5301,186380.749,0,132.6153755,2.431930827
2017,central_government,-8460.11106,-4102.956964,4357.154096,251526.6842,195509.136,0,128.6521384,-2.098601144
2018,central_government,-3406.858,-187.1845399,3219.67346,254746.3577,204997.646,0,124.2679429,-0.09131058019
2019,central_government,-3330.917,-2821.02745,509.8895505,255256.2472,214489.895,0,119.0061878,-1.315226272
2020,central_government,-13554.616,8484.721187,22039.33719,277295.5844,201032.705,0,137.9355585,4.220567587
2021,central_government,-7984.724,-7600.51295,384.2110502,277679.7954,216493.745,0,128.2622717,-3.510730968
2022,central_government,-4966.135,532.0798533,5498.214853,283178.0103,243957.084,0,116.0769778,0.2181038749
2023,central_government,-2447.446,-7761.391711,-5313.945711,277864.0646,270352.615,0,102.7783898,-2.870840258
2024,central_government,-4423.92745,7318.274366,11742.20182,289606.2664,289784.317,0,99.93855754,2.525421128
2025,central_government,-5635.804633,2187.202023,7823.006656,297429.2731,306765.485,0,96.95656376,0.7129883021
1996,general_government,-4470.056,216.944,4687,59562,94351.591,0,63.12771133,0.2299314698
1997,general_government,-3791.98036,-3424.98036,367,59929,102330.96,0,58.56389894,-3.346963969
1998,general_government,-4885.675827,-3564.675827,1321,61250,111353.381,0,55.00506536,-3.201228194
1999,general_government,-3625.76954,675.23046,4301,65551,119603.305,0,54.8070139,0.5645583623
2000,general_government,-4072.15969,-31.37667855,4040.783011,69591.78301,128414.445,0,54.19311123,-0.02443391672
2001,general_government,-6437.796655,1878.417806,8316.214461,77907.99747,135775.009,0,57.38021897,1.383478315
2002,general_government,-4686.565605,2932.072779,7618.638384,85526.63586,142554.263,0,59.99584583,2.056811713
2003,general_government,-8325.04039,-530.8146563,7794.225734,93320.86159,146067.858,0,63.88870411,-0.3634027798
2004,general_government,-9442.835742,-609.1160915,8833.719651,102154.5812,152248.388,0,67.0973155,-0.4000804866
2005,general_government,-9719.293373,2668.818807,12388.11218,114542.6934,158552.704,0,72.24266161,1.683237649
2006,general_government,-6928.081031,996.5889068,7924.669938,122467.3634,166260.469,0,73.65994099,0.599414228
2007,general_government,-5045.227633,58.22438183,5103.452015,127570.8154,175483.401,0,72.69679904,0.03317942409
2008,general_government,-6825.105171,813.2160667,7638.321238,135209.1366,179102.781,0,75.49248306,0.4540499383
2009,general_government,-17321.0278,1094.203473,18415.23127,153624.3679,175416.437,0,87.57695146,0.623774768
2010,general_government,-20537.13569,5491.365797,26028.50149,179652.8694,179860.351,0,99.88464293,3.053127477
2011,general_government,-13624.04418,7767.520095,21391.56427,201044.4336,176318.001,0,114.023771,4.405403901
2012,general_government,-10453.47442,5248.803203,15702.27762,216746.7113,168538.75,0,128.6034881,3.114300541
2013,general_government,-8898.289,-2331.664818,6566.624182,223313.3354,170675.649,0,130.8407712,-1.366137953
2014,general_government,-12751.535,-6673.557158,6077.977842,229391.3133,173186.662,0,132.4532217,-3.853389794
2015,general_government,-8025.985998,-2371.24868,5654.737318,235046.0506,179392.709,0,131.0231904,-1.321819986
2016,general_government,-3622.06066,5826.616691,9448.677351,244494.728,186380.749,0,131.1802476,3.12619019
2017,general_government,-5869.55706,-3965.683936,1903.873124,246398.6011,195509.136,0,126.0292005,-2.028388042
2018,general_government,-872.825,1005.813028,1878.638028,248277.2391,204997.646,0,121.1122391,0.4906461355
2019,general_government,248.993,1015.373959,766.3809586,249043.6201,214489.895,0,116.1097217,0.473390114
2020,general_government,-11563.868,8970.177721,20534.04572,269577.6658,201032.705,0,134.0964227,4.462048959
