year,sector,balance_m_eur,interest_m_eur,primary_balance_m_eur,nominal_gdp_m_eur,statistical_regime,primary_balance_recomputed_m_eur,primary_balance_identity_error_m_eur,interest_pct_gdp,primary_balance_pct_gdp
1977,central_government,-155.9932986,51.25931365,-104.733985,3602.601334,historical_long_series,-104.733985,0,1.422841688,-2.907176655
1978,central_government,-314.1618804,102.5646776,-211.5972029,4456.083151,historical_long_series,-211.5972029,0,2.301677821,-4.748502119
1979,central_government,-397.1589032,140.9505114,-256.2083917,5665.868483,historical_long_series,-256.2083917,0,2.487712375,-4.521961505
1980,central_government,-630.2308367,192.2446096,-437.9862271,7363.833272,historical_long_series,-437.9862271,0,2.610659455,-5.947802061
1981,central_government,-1015.533961,401.8760659,-613.6578952,8847.305645,historical_long_series,-613.6578952,0,4.542355402,-6.936099189
1982,central_government,-828.5544937,531.4621951,-297.0922986,10698.31816,historical_long_series,-297.0922986,0,4.967717235,-2.777000031
1983,central_government,-889.0980178,772.0899292,-117.0080886,13668.75365,historical_long_series,-117.0080886,0,5.648575936,-0.8560260257
1984,central_government,-1811.329632,1077.601327,-733.7283049,16785.04216,historical_long_series,-733.7283049,0,6.420009654,-4.371322382
1985,central_government,-2153.088671,1518.736302,-634.3523683,20605.41146,historical_long_series,-634.3523683,0,7.37057013,-3.078571712
1986,central_government,-1797.716503,1946.772778,149.0562744,25181.81629,historical_long_series,149.0562744,0,7.730867208,0.5919202677
1987,central_government,-1815.658264,2194.924731,379.2664678,29670.65301,historical_long_series,379.2664678,0,7.397628663,1.278254536
1988,central_government,-1430.603745,2282.994483,852.3907383,35416.43021,historical_long_series,852.3907383,0,6.446145109,2.406766389
1989,central_government,-1112.714857,2563.613192,1450.898335,41841.30823,historical_long_series,1450.898335,0,6.126991007,3.467621823
1990,central_government,-2418.192656,3665.15747,1246.964815,50239.23883,historical_long_series,1246.964815,0,7.295408044,2.482053558
1991,central_government,-3255.183508,4291.924961,1036.741453,57608.07092,historical_long_series,1036.741453,0,7.450214687,1.799646189
1992,central_government,-2029.304875,4397.971389,2368.666514,64765.86489,historical_long_series,2368.666514,0,6.790569996,3.657276125
1993,central_government,-4086.624734,3998.197843,-88.42689119,67733.29321,historical_long_series,-88.42689119,0,5.902854643,-0.1305515899
1994,central_government,-4071.769574,4365.978492,294.208918,73437.83279,historical_long_series,294.208918,0,5.94513526,0.4006230941
1995,central_government,-4220.739214,4790.097365,569.3581515,79373.07522,historical_long_series,569.3581515,0,6.034914676,0.7173190026
2000,central_government,-3803.951523,3773.532,-30.41952261,128414.445,esa2010_modern,-30.41952261,0,2.938557263,-0.02368855202
2001,central_government,-5760.697099,3934.36,-1826.337099,135775.009,esa2010_modern,-1826.337099,0,2.897705571,-1.345120219
2002,central_government,-5092.811492,4027.898,-1064.913492,142554.263,esa2010_modern,-1064.913492,0,2.82551915,-0.7470232523
2003,central_government,-7977.537848,3878.223,-4099.314848,146067.858,esa2010_modern,-4099.314848,0,2.655083092,-2.806445514
2004,central_government,-9198.766025,3890.581572,-5308.184453,152248.388,esa2010_modern,-5308.184453,0,2.555417252,-3.486529166
2005,central_government,-9655.358061,4057.56851,-5597.789551,158552.704,esa2010_modern,-5597.789551,0,2.559129178,-3.530554453
2006,central_government,-7562.211624,4568.300725,-2993.910899,166260.469,esa2010_modern,-2993.910899,0,2.747677035,-1.800735266
2007,central_government,-6042.742376,5077.150247,-965.592129,175483.401,esa2010_modern,-965.592129,0,2.89323675,-0.5502469883
2008,central_government,-7409.193381,5412.715803,-1996.477578,179102.781,esa2010_modern,-1996.477578,0,3.022128285,-1.11471054
2009,central_government,-16348.44768,5169.892,-11178.55568,175416.437,esa2010_modern,-11178.55568,0,2.9472107,-6.372581653
2010,central_government,-19798.95254,5376.152,-14422.80054,179860.351,esa2010_modern,-14422.80054,0,2.989070115,-8.018888243
2011,central_government,-13861.84618,7611.46947,-6250.376707,176318.001,esa2010_modern,-6250.376707,0,4.316898687,-3.54494531
2012,central_government,-11602.66901,8230.15744,-3372.51157,168538.75,esa2010_modern,-3372.51157,0,4.883243432,-2.001030368
2013,central_government,-9555.209,8177.209,-1378,170675.649,esa2010_modern,-1378,0,4.79108124,-0.8073793819
2014,central_government,-14213.929,8407.811,-5806.118,173186.662,esa2010_modern,-5806.118,0,4.854768204,-3.3525203
2015,central_government,-9930.804996,8300.440999,-1630.363997,179392.709,esa2010_modern,-1630.363997,0,4.626966751,-0.9088240019
2016,central_government,-6055.02166,7901.018,1845.99634,186380.749,esa2010_modern,1845.99634,0,4.239181376,0.9904436751
2017,central_government,-8460.11106,7594.612,-865.49906,195509.136,esa2010_modern,-865.49906,0,3.884530491,-0.4426898291
2018,central_government,-3406.858,7100.761,3693.903,204997.646,esa2010_modern,3693.903,0,3.463825629,1.801924594
2019,central_government,-3330.917,6515.567,3184.65,214489.895,esa2010_modern,3184.65,0,3.037703478,1.484755261
2020,central_government,-13554.616,5962.874,-7591.742,201032.705,esa2010_modern,-7591.742,0,2.966121358,-3.776371611
2021,central_government,-7984.724,5357.947,-2626.777,216493.745,esa2010_modern,-2626.777,0,2.474873812,-1.213326972
2022,central_government,-4966.135,4878.333,-87.802,243957.084,esa2010_modern,-87.802,0,1.999668515,-0.03599075647
2023,central_government,-2447.446,5796.824,3349.378,270352.615,esa2010_modern,3349.378,0,2.144171603,1.2388924
2024,central_government,-4423.92745,6281.088,1857.16055,289784.317,esa2010_modern,1857.16055,0,2.167504462,0.6408768319
2025,central_government,-5635.804633,6364.266,728.4613672,306765.485,esa2010_modern,728.4613672,0,2.074635613,0.2374652309
1977,general_government,-147.8054908,52.9733578,-94.83213301,3602.601334,historical_long_series,-94.83213301,0,1.470419646,-2.632323819
1978,general_government,-279.7266063,104.8028928,-174.9237136,4456.083151,historical_long_series,-174.9237136,0,2.351906129,-3.925503803
1979,general_government,-328.654052,140.9989147,-187.6551373,5665.868483,historical_long_series,-187.6551373,0,2.488566671,-3.312027765
1980,general_government,-624.8773436,193.7739514,-431.1033922,7363.833272,historical_long_series,-431.1033922,0,2.631427739,-5.854333963
1981,general_government,-1102.679869,404.6232502,-698.0566192,8847.305645,historical_long_series,-698.0566192,0,4.573406485,-7.890047515
1982,general_government,-914.4823725,548.193358,-366.2890145,10698.31816,historical_long_series,-366.2890145,0,5.124107826,-3.423799976
1983,general_government,-917.4949761,805.9703424,-111.5246337,13668.75365,historical_long_series,-111.5246337,0,5.896443548,-0.8159093112
1984,general_government,-1707.653536,1111.128801,-596.5247355,16785.04216,historical_long_series,-596.5247355,0,6.619755794,-3.553906685
