year,statistical_regime,year_gap,balance_change_m_eur,revenue_change_m_eur,expenditure_change_m_eur,contributions_change_m_eur,other_revenue_change_m_eur,social_transfers_change_m_eur,other_expenditure_change_m_eur,contributions_contribution_m_eur,other_revenue_contribution_m_eur,social_transfers_contribution_m_eur,other_expenditure_contribution_m_eur,revenue_split_error_m_eur,expenditure_split_error_m_eur,balance_identity_error_m_eur,contribution_closure_error_m_eur
1978,historical_long_series,1,37.04820899,83.46421505,46.41600606,58.4677002,24.99651486,,,58.4677002,24.99651486,,,0,,7.105427358e-15,
1979,historical_long_series,1,23.48323041,74.80513897,51.32190856,75.38181987,-0.576680903,,,75.38181987,-0.576680903,,,0,,-1.421085472e-14,
1980,historical_long_series,1,-28.9173442,144.3930673,173.3104115,126.6316425,17.76142474,,,126.6316425,17.76142474,,,0,,3.552713679e-14,
1981,historical_long_series,1,-44.53599326,147.7056347,192.2416279,145.9430672,1.762567461,,,145.9430672,1.762567461,,,0,,1.421085472e-14,
1982,historical_long_series,1,34.64520007,235.3678579,200.7226578,223.5159715,11.85188637,,,223.5159715,11.85188637,,,0,,-5.684341886e-14,
1983,historical_long_series,1,49.78700332,282.1694407,232.3824374,231.1599794,51.00946127,,,231.1599794,51.00946127,,,0,,4.263256415e-14,
1984,historical_long_series,1,132.6853733,383.0917239,250.4063506,255.7783342,127.3133896,,,255.7783342,127.3133896,,,0,,-1.136868377e-13,
1985,historical_long_series,1,-38.64413264,308.0761868,346.7203194,268.8239243,39.25226243,,,268.8239243,39.25226243,,,0,,3.126388037e-13,
1986,historical_long_series,1,181.3994773,813.2889971,631.8895198,740.7758751,72.51312192,,,740.7758751,72.51312192,,,0,,-1.98951966e-13,
1987,historical_long_series,1,-179.9712692,479.7359465,659.7072157,434.1831736,45.55277292,,,434.1831736,45.55277292,,,0,,1.421085472e-13,
1988,historical_long_series,1,68.44322184,558.8474194,490.4041975,445.1920222,113.6553971,,,445.1920222,113.6553971,,,0,,-1.136868377e-13,
1989,historical_long_series,1,54.84991171,648.7207211,593.8708094,616.8892818,31.83143924,,,616.8892818,31.83143924,,,0,,3.126388037e-13,
1990,historical_long_series,1,-58.36976387,863.1492983,921.5190621,829.1126585,34.03663976,,,829.1126585,34.03663976,,,0,,-3.126388037e-13,
