regime,sector,n,n_breaks,bic,delta_bic_vs_best,selected
1977-1994_historical,general_government,18,0,37.71992665,3.43473074,False
1977-1994_historical,general_government,18,1,34.28519591,0,True
1977-1994_historical,general_government,18,2,40.27381527,5.98861936,False
1977-1994_historical,central_government,18,0,34.97642823,5.575259883,False
1977-1994_historical,central_government,18,1,29.40116835,0,True
1977-1994_historical,central_government,18,2,34.61494172,5.213773367,False
1977-1994_historical,regional_local_government,18,0,-33.05226839,0,True
1977-1994_historical,regional_local_government,18,1,-28.79432469,4.257943702,False
1977-1994_historical,regional_local_government,18,2,-27.98585868,5.066409705,False
1977-1994_historical,social_security_funds,18,0,-24.84673835,0,True
1977-1994_historical,social_security_funds,18,1,-23.44590149,1.400836856,False
1977-1994_historical,social_security_funds,18,2,-23.69663552,1.150102827,False
1995-2025_modern,general_government,31,0,69.63544214,17.51083907,False
1995-2025_modern,general_government,31,1,57.29314422,5.168541156,False
1995-2025_modern,general_government,31,2,52.12460307,0,True
1995-2025_modern,central_government,31,0,56.19531621,15.91976181,False
1995-2025_modern,central_government,31,1,51.21219924,10.93664483,False
1995-2025_modern,central_government,31,2,40.2755544,0,True
1995-2025_modern,regional_local_government,31,0,-58.9147173,13.84791314,False
1995-2025_modern,regional_local_government,31,1,-69.14400001,3.618630426,False
1995-2025_modern,regional_local_government,31,2,-72.76263043,0,True
1995-2025_modern,social_security_funds,31,0,-21.85380391,29.10068909,False
1995-2025_modern,social_security_funds,31,1,-47.76023329,3.194259715,False
1995-2025_modern,social_security_funds,31,2,-50.954493,0,True
