regime,sector,n,min_segment,max_breaks,n_breaks,break_years,bic
1977-1994_historical,general_government,18,4,1,1,1986,34.28519591
1977-1994_historical,general_government,18,4,2,2,1981;1986,32.08405589
1977-1994_historical,general_government,18,4,3,2,1981;1986,32.08405589
1977-1994_historical,general_government,18,5,1,1,1986,34.28519591
1977-1994_historical,general_government,18,5,2,1,1986,34.28519591
1977-1994_historical,general_government,18,5,3,1,1986,34.28519591
1977-1994_historical,general_government,18,6,1,1,1986,34.28519591
1977-1994_historical,general_government,18,6,2,1,1986,34.28519591
1977-1994_historical,general_government,18,6,3,1,1986,34.28519591
1977-1994_historical,general_government,18,7,1,1,1986,34.28519591
1977-1994_historical,general_government,18,7,2,1,1986,34.28519591
1977-1994_historical,general_government,18,7,3,1,1986,34.28519591
1977-1994_historical,central_government,18,4,1,1,1987,29.40116835
1977-1994_historical,central_government,18,4,2,1,1987,29.40116835
1977-1994_historical,central_government,18,4,3,1,1987,29.40116835
1977-1994_historical,central_government,18,5,1,1,1987,29.40116835
1977-1994_historical,central_government,18,5,2,1,1987,29.40116835
1977-1994_historical,central_government,18,5,3,1,1987,29.40116835
1977-1994_historical,central_government,18,6,1,1,1987,29.40116835
1977-1994_historical,central_government,18,6,2,1,1987,29.40116835
1977-1994_historical,central_government,18,6,3,1,1987,29.40116835
1977-1994_historical,central_government,18,7,1,1,1987,29.40116835
1977-1994_historical,central_government,18,7,2,1,1987,29.40116835
1977-1994_historical,central_government,18,7,3,1,1987,29.40116835
1977-1994_historical,regional_local_government,18,4,1,0,,-33.05226839
1977-1994_historical,regional_local_government,18,4,2,2,1981;1986,-40.83348757
1977-1994_historical,regional_local_government,18,4,3,2,1981;1986,-40.83348757
1977-1994_historical,regional_local_government,18,5,1,0,,-33.05226839
1977-1994_historical,regional_local_government,18,5,2,0,,-33.05226839
1977-1994_historical,regional_local_government,18,5,3,0,,-33.05226839
1977-1994_historical,regional_local_government,18,6,1,0,,-33.05226839
1977-1994_historical,regional_local_government,18,6,2,0,,-33.05226839
1977-1994_historical,regional_local_government,18,6,3,0,,-33.05226839
1977-1994_historical,regional_local_government,18,7,1,0,,-33.05226839
1977-1994_historical,regional_local_government,18,7,2,0,,-33.05226839
1977-1994_historical,regional_local_government,18,7,3,0,,-33.05226839
1977-1994_historical,social_security_funds,18,4,1,0,,-24.84673835
1977-1994_historical,social_security_funds,18,4,2,0,,-24.84673835
1977-1994_historical,social_security_funds,18,4,3,0,,-24.84673835
1977-1994_historical,social_security_funds,18,5,1,0,,-24.84673835
1977-1994_historical,social_security_funds,18,5,2,0,,-24.84673835
1977-1994_historical,social_security_funds,18,5,3,0,,-24.84673835
1977-1994_historical,social_security_funds,18,6,1,0,,-24.84673835
1977-1994_historical,social_security_funds,18,6,2,0,,-24.84673835
1977-1994_historical,social_security_funds,18,6,3,0,,-24.84673835
1977-1994_historical,social_security_funds,18,7,1,0,,-24.84673835
1977-1994_historical,social_security_funds,18,7,2,0,,-24.84673835
1977-1994_historical,social_security_funds,18,7,3,0,,-24.84673835
1995-2025_modern,general_government,31,4,1,1,2016,57.29314422
1995-2025_modern,general_government,31,4,2,2,2009;2015,52.12460307
1995-2025_modern,general_government,31,4,3,3,2009;2015;2022,49.522298
1995-2025_modern,general_government,31,5,1,1,2016,57.29314422
1995-2025_modern,general_government,31,5,2,2,2009;2015,52.12460307
1995-2025_modern,general_government,31,5,3,2,2009;2015,52.12460307
1995-2025_modern,general_government,31,6,1,1,2016,57.29314422
1995-2025_modern,general_government,31,6,2,2,2009;2015,52.12460307
1995-2025_modern,general_government,31,6,3,2,2009;2015,52.12460307
1995-2025_modern,general_government,31,7,1,1,2016,57.29314422
1995-2025_modern,general_government,31,7,2,2,2009;2016,52.29757286
1995-2025_modern,general_government,31,7,3,2,2009;2016,52.29757286
1995-2025_modern,central_government,31,4,1,1,2016,51.21219924
1995-2025_modern,central_government,31,4,2,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,4,3,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,5,1,1,2016,51.21219924
1995-2025_modern,central_government,31,5,2,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,5,3,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,6,1,1,2016,51.21219924
1995-2025_modern,central_government,31,6,2,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,6,3,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,7,1,1,2016,51.21219924
1995-2025_modern,central_government,31,7,2,2,2009;2016,40.2755544
1995-2025_modern,central_government,31,7,3,2,2009;2016,40.2755544
1995-2025_modern,regional_local_government,31,4,1,1,2012,-69.14400001
1995-2025_modern,regional_local_government,31,4,2,2,2000;2011,-72.76263043
1995-2025_modern,regional_local_government,31,4,3,3,2000;2012;2020,-74.92439808
1995-2025_modern,regional_local_government,31,5,1,1,2012,-69.14400001
1995-2025_modern,regional_local_government,31,5,2,2,2000;2011,-72.76263043
1995-2025_modern,regional_local_government,31,5,3,3,2000;2012;2020,-74.92439808
1995-2025_modern,regional_local_government,31,6,1,1,2012,-69.14400001
1995-2025_modern,regional_local_government,31,6,2,2,2001;2011,-70.82604438
1995-2025_modern,regional_local_government,31,6,3,3,2001;2012;2020,-72.26057376
1995-2025_modern,regional_local_government,31,7,1,1,2012,-69.14400001
1995-2025_modern,regional_local_government,31,7,2,2,2002;2011,-69.36164565
1995-2025_modern,regional_local_government,31,7,3,2,2002;2011,-69.36164565
1995-2025_modern,social_security_funds,31,4,1,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,4,2,2,2016;2022,-57.81355873
1995-2025_modern,social_security_funds,31,4,3,2,2016;2022,-57.81355873
1995-2025_modern,social_security_funds,31,5,1,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,5,2,2,2016;2021,-50.954493
1995-2025_modern,social_security_funds,31,5,3,2,2016;2021,-50.954493
1995-2025_modern,social_security_funds,31,6,1,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,6,2,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,6,3,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,7,1,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,7,2,1,2017,-47.76023329
1995-2025_modern,social_security_funds,31,7,3,1,2017,-47.76023329
